"","sample","tissue","endometriosis","severity","p37145_at","p205495_s_at","GNLY"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.28297,12.569633,12.4263015
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.000591,9.915792,9.9581915
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.829291,12.578419,12.203855
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.165785,13.477191,13.321488
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.260981,8.748032,8.5045065
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.424709,11.582107,11.503408
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.708241,13.093789,12.901015
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.954488,12.137931,12.0462095
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.930965,10.428052,10.1795085
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.293946,14.890184,14.592065
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.815265,10.135551,9.475408
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.961648,11.247532,11.10459
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.240875,12.291201,12.266038
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.359586,10.556803,10.4581945
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.333278,8.744065,8.5386715
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.23682,12.452817,12.3448185
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.060333,12.199606,12.1299695
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.792093,12.084435,11.938264
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.484079,11.751887,11.617983
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.994596,14.236277,14.1154365
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.257281,12.23927,12.2482755
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.890057,15.113937,15.001997
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.225969,15.438778,15.3323735
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.585916,14.954221,14.7700685
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.585025,14.804785,14.694905
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.184035,13.29898,13.2415075
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.755936,12.686131,12.7210335
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.587186,10.41421,10.500698
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.170657,12.068555,12.119606
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.405639,12.475258,12.4404485
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.451846,12.489877,12.4708615
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.80501,10.647846,10.726428
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.808787,12.787166,12.7979765
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.28663,13.352488,13.319559
