"","sample","tissue","endometriosis","severity","p201008_s_at","p201009_s_at","p201010_s_at","TXNIP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.856237,12.850235,13.455597,12.7206896666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.065862,13.198799,13.430713,13.2317913333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.012246,13.048227,13.440286,12.8335863333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.11405,13.544838,13.96083,13.539906
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.716985,13.199217,13.614158,13.1767866666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.084956,13.398,14.005608,13.496188
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.792549,13.928296,13.872192,13.5310123333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.589295,12.570413,12.987719,12.3824756666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.842594,12.945334,13.105007,12.9643116666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.695167,13.027223,13.582876,13.1017553333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.080795,11.714278,12.30084,11.6986376666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.681164,11.356278,12.103502,11.3803146666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.63534,13.715225,13.63338,13.3279816666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.361944,12.272408,12.732038,12.12213
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.011421,12.989751,13.350104,12.7837586666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.481738,13.911121,13.950646,13.7811683333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.024658,13.829992,13.950646,13.6017653333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.850647,12.960883,13.481867,13.097799
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.146556,13.391506,13.761857,13.4333063333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.800173,11.346941,13.069975,11.4056963333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.080437,10.188781,12.386839,10.2186856666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.108653,10.575682,12.460242,10.714859
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.691145,10.887162,11.865322,10.1478763333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.691145,9.917099,12.547109,10.0517843333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.125365,10.975985,12.338244,10.813198
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.251861,9.834518,11.316118,9.80083233333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.810141,8.170542,10.212594,8.397759
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.284105,10.50168,12.249175,10.3449866666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.548848,11.276552,12.58634,11.1372466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.933603,8.336086,10.393466,8.554385
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.02428,9.493883,11.98248,9.50021433333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.410462,9.589406,11.224472,9.40811333333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.691145,9.467669,10.809752,9.32285533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.691145,9.639298,11.10211,9.47751766666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.269302,11.93742,13.344912,11.8505446666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.958563,11.845676,12.845835,11.883358
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.211957,9.553075,11.028697,9.26457633333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.308657,10.070744,12.567232,10.3155443333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.632299,8.885501,10.896945,9.13824833333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.739874,10.584675,12.116248,10.1469323333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.146657,8.564966,10.323686,8.345103
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.555791,7.261954,10.322735,7.71349333333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.316728,8.669018,10.55777,8.84783866666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.684719,10.390505,12.767688,10.2809706666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.03113,10.65264,12.496347,10.7267056666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.339034,8.605449,10.848529,8.931004
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.106765,7.137157,9.837094,7.36033866666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.186404,8.910724,10.660471,8.58586633333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.635608,10.555538,12.115608,10.4355846666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.023343,9.420208,10.764176,9.06924233333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.691145,9.642926,11.305555,9.546542
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.615652,9.936379,12.300646,10.2842256666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.6857,9.212232,11.676605,9.19151233333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.38807,10.345593,11.824461,10.1860413333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.055573,9.239065,11.808653,9.36776366666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.104979,10.773158,13.128066,11.335401
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.993881,10.200864,12.370383,10.188376
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.210811,11.654345,13.437437,11.767531
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.377442,11.831267,13.591371,12.2666933333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.39886,10.228995,12.55741,10.3950883333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.844854,11.30947,12.860672,11.338332
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.557987,11.413698,13.520151,11.4972786666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.771821,11.289434,13.257047,11.439434
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.640936,10.801505,12.809935,11.0841253333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.520058,10.990769,13.085139,11.1986553333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.533604,10.735336,12.650473,10.6398043333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.016409,10.250682,12.127799,10.13163
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.877505,10.71229,12.462378,11.017391
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.096903,11.816145,13.134436,12.015828
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.989247,10.652533,12.409012,10.6835973333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.983436,11.448279,13.091859,11.8411913333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.958154,11.836685,13.367453,12.0540973333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.231762,12.119911,13.35292,12.2348643333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.26611,11.158284,12.799448,11.4079473333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.07731,11.739733,13.258823,12.0252886666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.212419,12.375136,13.50576,12.3644383333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.839061,10.780569,12.34765,10.9890933333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.52993,12.892511,13.477668,12.966703
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.591157,11.247072,12.87783,11.5720196666667
