"","sample","tissue","endometriosis","severity","p241801_at","p213469_at","PGAP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,5.700193,4.247391
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.566568,5.208438,3.887503
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,5.132428,3.9635085
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.621507,4.242718,3.4321125
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.308002,6.313636,4.810819
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.35297,3.770512,3.061741
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.542592,5.112559,3.8275755
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,6.001936,4.3982625
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,6.041437,4.418013
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.882159,5.36272,4.1224395
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.230049,5.830066,4.5300575
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,6.276082,4.5353355
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,4.137065,3.465827
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.532393,6.61893,5.0756615
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.642177,6.89942,5.2707985
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.967608,5.200509,4.0840585
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.875146,5.609091,4.2421185
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,4.208237,3.501413
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.505906,5.869307,4.6876065
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.35297,5.190059,3.7715145
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.36272,3.7993935
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.35297,4.698861,3.5259155
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.260192,5.36272,3.811456
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,4.67737,3.7359795
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.535826,4.713205,3.6245155
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.68707,5.112559,3.8998145
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.260192,5.132428,3.69631
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.830198,5.112559,3.9713785
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.364814,5.169715,3.7672645
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.45886,3.8474635
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.706914,5.132428,3.919671
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.631531,6.118913,4.375222
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.794589,4.137065,3.465827
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.260192,4.557838,3.409015
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.055616,5.45886,4.257238
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.345675,4.297427,3.321551
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.794589,5.841628,4.3181085
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.611934,5.28533,3.948632
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.566568,5.189601,3.8780845
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.566568,5.036128,3.801348
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.707325,5.70131,4.2043175
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.494488,5.132428,3.813458
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.794589,5.36272,4.0786545
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.10891,6.7082,4.908555
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.264632,4.268172,3.266402
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.566568,6.936649,4.7516085
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.071518,3.6537925
