"","sample","tissue","endometriosis","severity","p214778_at","p227327_at","MEGF8"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.212989,5.319072,5.2660305
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.783642,6.155286,5.969464
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.415389,5.576766,5.9960775
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.40953,5.737797,5.5736635
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.840473,5.626257,5.733365
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.012687,5.576766,5.7947265
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.503485,6.059335,6.28141
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.3912,7.655262,7.023231
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.012687,5.977009,5.994848
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.909331,5.576766,5.7430485
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.012687,5.817747,5.915217
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.42144,5.726491,6.0739655
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.157563,5.885527,5.521545
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.475711,6.512827,6.494269
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.012687,5.916018,5.9643525
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.417329,5.576766,5.4970475
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.012687,5.576766,5.7947265
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.106352,5.576766,5.841559
