"","sample","tissue","endometriosis","severity","p219130_at","p232489_at","TRMT13"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.89533,6.339036,7.117183
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.56374,6.915013,6.7393765
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.5173,6.053889,6.2855945
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.444052,5.901284,6.172668
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.32541,6.96246,7.143935
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.076017,5.924724,6.5003705
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.248215,6.303768,4.7759915
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.562779,5.729844,6.1463115
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.654162,7.352643,7.5034025
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.742404,5.44774,6.095072
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.989731,6.098123,6.543927
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.695937,6.494273,7.095105
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.999435,6.010891,6.005163
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.063205,7.737698,7.4004515
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.410437,8.253645,7.832041
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.182774,8.290163,7.7364685
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.161354,8.109327,7.6353405
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.450155,8.30891,7.8795325
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.646679,8.527235,8.086957
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.353711,5.953712,5.6537115
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.462968,3.225252,4.34411
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.739469,5.195227,4.967348
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.33859,4.932679,4.6356345
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.951793,2.832469,3.892131
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.45334,5.161886,4.807613
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.009849,5.529563,5.269706
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.812823,2.992391,3.402607
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.863629,4.27828,5.0709545
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.323863,5.841455,6.082659
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.760467,5.352668,4.5565675
