"","sample","tissue","endometriosis","severity","p40569_at","p204139_x_at","p210336_x_at","MZF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.591211,7.983147,8.069062,7.88114
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.497201,6.861921,7.351657,7.23692633333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.926263,5.704686,6.94259,6.524513
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.510299,7.912116,7.948824,8.12374633333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.151072,7.712288,7.78465,7.54933666666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.657155,7.596151,7.797648,7.68365133333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.199011,7.184195,6.813349,7.06551833333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.446581,7.442887,7.700494,7.86332066666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.766965,7.712683,7.553132,7.67759333333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.451914,8.181401,7.737385,7.79023333333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.327308,6.998668,7.22344,7.18313866666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.50869,7.798642,7.482261,7.596531
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.340933,7.698702,7.922745,7.98746
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.209291,7.378963,7.740354,7.44286933333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.814301,7.940413,7.810239,7.85498433333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.485114,7.564844,7.656112,7.56869
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.420865,7.649769,7.620911,7.56384833333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.295664,7.477922,7.748226,7.50727066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.550764,7.192404,7.015117,6.91942833333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.082035,9.174562,9.342196,9.532931
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.603985,9.583426,9.790806,9.992739
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.560419,9.017667,8.962301,9.180129
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.76015,8.795624,9.086161,9.21397833333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.938162,9.511391,9.869469,9.77300733333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.468506,9.37535,9.324555,9.38947033333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.807588,10.252826,10.189896,10.41677
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.633719,9.698045,9.893498,10.0750873333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.836455,9.361279,9.593644,9.597126
