"","sample","tissue","endometriosis","severity","p212822_at","p213069_at","HEG1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.487572,10.180477,8.3340245
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.69517,7.989662,7.342416
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.033414,7.793797,6.9136055
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.641615,8.029724,6.8356695
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.660225,8.71486,8.1875425
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.140219,7.847043,6.993631
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.794308,6.411985,6.1031465
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.811517,8.474004,7.1427605
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.776121,8.572344,7.1742325
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.487572,7.782639,7.1351055
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.487572,8.949675,7.7186235
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.2408,8.301913,7.2713565
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.650637,6.897311,6.773974
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.588862,8.926577,7.2577195
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.685596,8.798475,6.7420355
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.250479,7.124764,5.6876215
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.97625,7.799094,6.387672
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.655534,7.495585,6.5755595
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.073615,7.687985,6.3808
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.269744,8.712166,6.990955
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.000246,9.092705,7.5464755
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.561158,8.454334,7.007746
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.339591,8.873508,8.1065495
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.51246,8.303753,6.9081065
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.860195,8.073412,6.4668035
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.487572,8.089903,7.2887375
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.094305,7.7787,6.9365025
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.562122,9.085189,7.8236555
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.272499,8.883996,7.5782475
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.908406,8.706267,7.8073365
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.007397,7.230839,7.119118
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.012819,9.317039,8.164929
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.762962,6.845,6.303981
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.909412,8.620142,7.764777
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.679148,9.643931,8.1615395
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.641763,8.335537,7.48865
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.647957,8.245057,7.446507
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.102782,9.490356,7.796569
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.350503,8.459396,6.9049495
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.519819,7.824421,7.17212
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.327192,8.706267,8.0167295
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.696375,8.847899,7.772137
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347964,8.537366,6.942665
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.522047,9.136985,7.829516
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.832978,8.228513,7.0307455
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.120984,8.706267,7.4136255
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.684194,8.586068,7.135131
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.045578,9.620682,8.83313
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.900478,7.876685,6.8885815
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.147516,8.465388,7.806452
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.941692,8.706267,7.8239795
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.487572,8.706267,7.5969195
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.190216,8.748785,7.4695005
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.487572,7.804514,7.146043
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.304858,8.925553,7.6152055
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.545103,9.346541,7.445822
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.162821,8.873849,7.518335
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.65266,9.438248,7.545454
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.546843,9.298052,7.4224475
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.693113,8.856829,7.274971
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.690762,8.289902,6.490332
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.434907,9.861604,8.1482555
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.323225,9.308973,7.316099
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.133144,10.474969,8.8040565
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.432792,10.040806,8.236799
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.487572,9.070377,7.7789745
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.27391,9.413923,7.8439165
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.657795,10.01157,8.3346825
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.378814,9.428804,7.903809
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.08511,8.957279,7.5211945
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.340377,10.272904,8.8066405
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.320798,9.412751,7.8667745
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.31942,9.5743,7.94686
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.613096,9.743366,8.178231
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.679376,10.626027,9.1527015
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.781577,8.799743,7.29066
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.141621,9.27802,7.7098205
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.309986,9.014625,7.6623055
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.753035,9.741472,8.2472535
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.487572,8.683183,7.5853775
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.487572,9.570709,8.0291405
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.761294,9.76665,8.263972
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.100269,9.029486,7.5648775
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.602375,9.563242,8.0828085
