"","sample","tissue","endometriosis","severity","p1555372_at","p1553096_s_at","p225606_at","BCL2L11"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.234651,4.68077,4.933873,4.94976466666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.797185,4.669709,5.886859,5.451251
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.3551,4.726098,7.143425,6.40820766666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.186798,4.669709,6.894913,5.91714
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.313427,4.71604,6.053705,5.36105733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.957813,4.801347,6.444013,5.734391
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.100573,4.801347,6.894913,6.265611
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.231686,4.669709,8.422582,6.774659
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.981409,4.590057,6.174201,5.581889
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.799624,4.801347,7.06539,6.22212033333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.503154,4.92618,7.344526,6.59128666666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.513937,4.766179,7.630629,6.636915
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.965004,4.766179,6.443962,6.72504833333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.55467,4.780995,6.406787,5.91415066666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.03256,4.704968,6.094507,5.61067833333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.689462,4.68077,7.7021,6.69077733333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.653392,4.420291,7.731531,6.601738
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.450758,4.68077,6.872395,6.334641
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.313427,4.887222,6.176342,5.458997
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.41689,5.677352,7.916278,6.67017333333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.617044,6.019837,6.87565,5.83751033333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.937871,6.13046,8.104342,6.72422433333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.782199,5.928626,9.688426,7.79975033333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.683703,6.06202,6.894913,5.880212
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.947402,5.764866,7.360664,6.02431066666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.683703,6.351723,7.00956,6.01499533333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.829895,7.132295,5.549956,5.50404866666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.026819,5.609328,7.249571,5.961906
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.314034,4.998336,8.334919,6.215763
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.294757,6.350532,7.435064,6.36011766666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.348032,7.080554,7.903406,6.77733066666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.566212,5.752108,8.378333,6.89888433333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.888254,6.942732,5.657032,5.82933933333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.134179,7.054761,5.64108,5.61000666666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.683703,4.766179,6.802556,5.41747933333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.313427,6.564425,7.230095,6.36931566666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.683703,6.679737,6.946011,6.10315033333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.957775,4.868574,6.663739,5.496696
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.683703,6.840633,7.101015,6.20845033333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.794996,5.377828,7.411768,5.86153066666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.313427,5.636312,7.424026,6.12458833333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.741141,7.142139,8.652359,7.17854633333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.177783,5.955746,7.446674,6.193401
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.811491,6.397808,9.099299,8.102866
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.843328,6.263835,7.598019,6.23506066666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.039936,6.588566,7.249571,6.292691
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.713927,6.979335,6.957496,6.21691933333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.439065,5.862522,9.79322,7.698269
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.192368,5.613757,6.794472,5.86686566666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.683703,7.279433,5.332916,5.76535066666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.986555,6.113081,5.695672,5.26510266666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.494241,6.918182,6.628508,6.01364366666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.996846,6.546514,8.31698,6.95344666666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.393068,6.1082,6.927208,6.47615866666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.683703,5.282219,7.517064,5.827662
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.830214,5.056585,6.943381,5.61006
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.899715,6.46125,6.838932,6.06663233333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.844506,4.801347,7.249571,5.631808
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.324397,4.821892,8.453473,6.533254
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.717999,4.887222,7.0063,5.53717366666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.522568,5.54055,6.903056,5.98872466666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.29838,4.925234,7.898301,6.04063833333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.32977,4.814312,7.475791,5.873291
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.075584,4.887222,9.018673,6.99382633333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.683703,4.49608,6.791899,5.323894
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.255665,4.887222,7.952714,6.031867
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.635002,5.593415,7.297241,5.841886
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.680465,4.887222,7.521888,5.696525
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.396484,4.766179,7.558727,5.57379666666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.200026,4.801347,7.337284,5.77955233333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.958643,4.520545,9.183519,6.22090233333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.43179,4.786621,6.894913,5.371108
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.122004,4.722624,6.974945,5.273191
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.01428,4.577516,7.279062,5.62361933333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.275672,4.513655,6.87209,5.22047233333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.279107,4.67725,7.418067,5.45814133333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.088143,4.887222,7.358938,5.44476766666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.02529,4.809532,8.333581,5.38946766666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.683703,4.439373,8.586268,5.90311466666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.076545,4.714847,6.86399,5.21846066666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.543098,4.68899,7.65972,5.29726933333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.286253,5.125239,7.673378,5.69495666666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.601949,4.808901,7.656191,6.35568033333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.478886,4.04587,7.251407,5.258721
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.998003,4.887222,7.251371,5.71219866666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.75149,5.508833,7.065291,5.77520466666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.12676,6.735593,7.451879,6.104744
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.907217,6.010821,7.984921,6.63431966666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.248095,5.107965,7.249571,5.86854366666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.725706,5.488437,7.245786,6.15330966666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.688021,4.669709,7.336077,5.56460233333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.89056,6.740059,8.781084,7.47056766666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.32556,6.212404,8.99526,7.17774133333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.564262,4.887222,7.403414,6.284966
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.149992,5.29523,7.568584,6.33793533333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.059353,5.01435,8.258599,6.777434
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.18836,5.785265,8.269351,7.41432533333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.990767,5.055373,8.158066,6.73473533333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.765007,5.22796,6.875255,5.62274066666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.925687,6.363012,6.894913,6.061204
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.590097,4.887222,7.138043,5.87178733333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.755873,4.810165,7.252396,5.939478
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.476417,5.200362,7.77863,6.48513633333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.935854,6.12192,7.052613,5.70346233333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.999192,4.811358,6.917034,5.57586133333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.090153,5.146528,7.855212,6.69729766666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.783276,5.68219,7.479987,6.315151
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.573668,5.549329,9.926054,7.683017
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.861516,5.343916,7.130982,6.112138
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.010091,5.62197,8.372374,7.00147833333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.683703,6.284519,7.297885,6.08870233333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.160835,4.800911,6.359446,5.44039733333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.037955,4.887222,6.794005,5.57306066666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.241463,4.737608,6.990192,6.32308766666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.764362,3.278348,6.894913,5.64587433333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.066834,4.402283,6.985153,6.15142333333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.393726,4.887222,6.894913,6.05862033333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.770544,4.806486,7.058787,6.211939
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.216036,4.971895,7.009917,6.06594933333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.18362,4.669709,7.2403,6.364543
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.879591,4.573138,6.215319,5.22268266666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.109232,4.504716,7.592983,6.068977
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.710557,4.558597,7.200141,5.82309833333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.585927,4.292305,6.843163,5.240465
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.062937,4.776299,8.502563,6.78059966666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.478988,4.669709,7.712584,6.28709366666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.568596,4.669709,9.096564,7.111623
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.854232,4.58273,7.799597,6.078853
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.0957,4.817178,7.506042,6.13964
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.601109,4.581289,6.907107,5.69650166666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.296445,4.887222,9.877746,7.68713766666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.275709,4.419553,6.869587,5.188283
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.90119,4.644637,7.213434,5.91975366666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.993397,4.766888,7.397638,6.052641
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.752822,4.77339,7.874439,6.13355033333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.589911,4.504124,8.841133,6.97838933333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.907729,4.68077,6.623914,5.40413766666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.356738,4.901734,7.547175,6.268549
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.727331,4.439715,8.364809,6.51061833333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.756044,4.452602,7.471935,5.893527
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.774433,4.25041,7.274322,5.76638833333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.161594,4.942184,7.634444,6.246074
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.479189,4.822071,8.953162,6.751474
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.677035,4.473794,7.335819,5.82888266666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.724741,4.394262,8.593215,6.90407266666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.842177,4.525471,7.839383,6.06901033333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.517714,4.592538,7.321032,5.810428
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.122807,4.694332,7.249571,6.02223666666667
