"","sample","tissue","endometriosis","severity","p223575_at","p232921_at","p238885_at","KIAA1549"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,5.102507,4.198674,4.60552566666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,4.607009,4.452229,4.524878
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,6.078407,4.198674,4.93082566666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.474799,5.207473,4.15548,4.612584
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.463237,6.313138,4.243957,5.00677733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.461151,4.802488,4.198674,4.48743766666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.757775,5.533919,4.198674,4.49678933333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.737943,5.214615,5.004106,5.318888
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.307635,4.859991,5.020508,4.729378
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.785886,5.007445,4.198674,4.997335
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.779883,5.43016,4.613638,4.941227
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.785886,5.196213,4.686826,5.222975
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,4.873551,4.15548,4.514809
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.251415,6.385945,4.857507,5.498289
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672792,6.340226,4.417759,5.47692566666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.494763,6.736308,4.15548,5.46218366666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.207788,5.472802,4.553969,5.07818633333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.053791,5.057648,4.198674,4.43670433333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.860138,6.306141,4.563769,5.57668266666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.744052,4.21269,4.060945,4.67256233333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.91577,4.607009,4.278981,4.93392
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.904953,4.981939,4.079955,5.32228233333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.785886,4.868037,4.023213,4.89237866666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,4.589638,3.787942,4.29765866666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.962858,4.971136,3.778095,4.57069633333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.780358,3.944789,4.198674,3.974607
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,4.034402,4.15548,4.23509266666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.434951,4.982726,4.15548,5.19105233333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.725053,3.953622,3.964419,4.547698
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.618978,4.607009,3.850726,4.35890433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.157184,4.677182,4.198674,4.34434666666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.089001,3.884759,3.884553,4.61943766666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.569851,4.607009,3.886123,4.35432766666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.774349,3.884759,4.15548,4.27152933333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.69853,6.008017,4.999648,5.902065
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.222967,4.607009,3.68467,4.83821533333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.379715,4.672031,4.198674,4.75014
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.990907,5.088137,4.315666,5.46490333333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.11107,4.52066,4.210427,4.61405233333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515396,4.607009,4.15548,4.42596166666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.67592,5.212497,3.823991,4.904136
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.308516,4.721394,4.15548,5.06179666666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515396,4.534386,4.198674,4.416152
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.92859,4.607009,3.923896,4.81983166666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.784785,3.884759,3.780351,4.48329833333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.85869,4.776805,4.198674,4.61138966666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.910044,4.607009,3.872881,4.46331133333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.983135,4.607009,4.09511,4.228418
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.92759,4.607009,3.778095,4.43756466666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.515396,4.513518,3.778095,4.269003
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.515985,4.607009,4.15548,4.426158
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.014095,4.559646,4.198674,4.590805
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515396,4.398625,3.778095,4.23070533333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.785886,5.491852,4.15548,5.144406
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.710106,5.139016,4.198674,5.015932
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.668572,4.607009,4.357317,4.87763266666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.940818,4.653583,3.778095,4.45749866666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.645524,4.975645,3.976139,4.86576933333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.55799,4.863612,4.198674,4.87342533333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.162481,5.073667,4.198674,5.14494066666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.134477,4.607009,4.144616,4.62870066666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.677416,4.607009,4.15548,4.47996833333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.776126,4.269908,4.146984,4.731006
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.862809,5.17652,4.526812,5.18871366666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.315263,5.016813,4.668364,5.00014666666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.009553,4.986405,3.97247,4.989476
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.269599,4.633621,4.442213,5.11514433333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.458134,6.875847,4.631131,5.98837066666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.795158,7.229434,4.929651,5.98474766666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.666589,6.600512,5.129444,6.13218166666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.448511,6.602299,4.986655,6.01248833333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.496825,6.907667,4.901002,6.10183133333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.105402,7.050787,5.106036,6.08740833333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.377553,6.095109,5.255329,5.90933033333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.120121,5.884317,5.004414,5.66961733333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.835148,4.641506,4.198674,4.891776
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.770064,6.749411,4.739609,6.08636133333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.404842,6.136138,4.198674,5.57988466666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.837396,5.466718,4.423963,5.24269233333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.199641,4.947571,4.212951,5.12005433333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.854046,6.805292,4.87741,6.178916
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.397081,6.264454,4.335799,5.665778
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.841385,5.083129,4.198674,5.04106266666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.056966,5.351142,4.692781,5.366963
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.855682,5.588063,5.215402,5.553049
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.809538,3.363403,3.736091,4.30301066666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.62228,4.102334,4.15548,4.29336466666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.701567,4.607009,4.15548,4.821352
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.631293,4.687718,4.218345,5.17911866666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.100593,5.326884,3.945978,5.124485
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.489646,4.824146,4.198674,5.170822
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.442332,4.607009,4.198674,4.416005
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.641238,4.607009,3.933093,5.06044666666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.457609,4.542991,3.509416,4.50333866666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.904019,3.700677,3.787535,4.13074366666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.673386,4.792954,4.149968,5.205436
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.973634,4.187781,4.198674,4.453363
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.383698,4.607009,3.88458,4.62509566666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.825616,4.992275,4.031262,4.283051
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.166122,4.131384,4.198674,4.16539333333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.494275,5.595106,4.198674,5.42935166666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.180235,4.921624,4.085848,5.062569
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.528456,4.796303,3.897231,4.74066333333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.722326,4.607009,4.085207,4.80484733333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515396,4.484494,4.15548,4.38512333333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.672856,4.272032,4.155043,4.699977
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.711833,5.279234,4.198674,5.39658033333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.096482,4.607009,4.207546,4.97034566666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.511835,5.373416,4.15548,5.34691033333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.614137,4.54473,4.130456,5.096441
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.490581,4.607009,4.386826,4.82813866666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.785886,4.86085,3.893459,4.84673166666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.031369,5.182554,4.198674,5.13753233333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.557957,6.026356,4.198674,5.26099566666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515396,4.952852,4.198674,4.55564066666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.095223,6.53008,5.030546,5.885283
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515396,4.241248,4.198674,4.31843933333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.152268,5.212379,4.200735,4.85512733333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.956558,5.572558,4.297396,4.94217066666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515396,5.215351,4.693117,4.80795466666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.899515,5.955277,4.198674,5.017822
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.9874,6.819935,4.514595,5.77397666666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.384011,6.471392,4.6594,5.83826766666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.751061,6.77693,4.934865,6.15428533333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.845498,6.352019,4.198674,5.79873033333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.541279,4.657907,3.752553,4.983913
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.280909,7.73224,5.061268,6.358139
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.909973,6.710675,4.32578,5.64880933333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.580703,6.457793,4.267406,5.768634
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.684778,7.977621,5.235432,6.63261033333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.093934,6.526328,4.402861,6.00770766666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.945228,7.34887,5.331658,6.54191866666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.242963,7.63997,5.315404,6.732779
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.257271,7.18756,4.305571,6.250134
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.670945,7.021897,4.447094,5.713312
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.312233,5.931174,4.706357,5.316588
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.73437,7.326795,5.131533,6.397566
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.198603,5.909486,4.198674,5.43558766666667
