"","sample","tissue","endometriosis","severity","p207713_s_at","p221827_at","RBCK1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.596701,7.459564,7.5281325
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.147728,7.152798,7.150263
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.365133,6.640558,6.5028455
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.705199,8.122424,8.4138115
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.57381,6.905556,7.239683
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.294376,8.798017,8.5461965
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.587604,7.064339,7.3259715
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.815829,7.661119,7.238474
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.132414,7.227761,7.1800875
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.074516,7.830487,7.9525015
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.862411,6.499946,6.6811785
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.367019,6.717541,7.04228
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.864665,8.149462,8.5070635
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.917249,7.305162,7.1112055
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.978117,7.392602,7.6853595
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.731461,8.314131,8.022796
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.033856,8.231203,8.1325295
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.854176,8.554545,8.2043605
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.978352,8.712721,8.3455365
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.064984,10.891257,9.9781205
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.735317,10.731727,9.733522
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.829143,11.183007,10.506075
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.98282,9.62943,9.306125
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.851687,11.242718,10.5472025
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.981582,10.548485,10.2650335
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.926537,11.460079,10.693308
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.059171,11.102657,10.580914
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.209767,9.825375,9.517571
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.599211,10.982174,9.7906925
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.466867,11.339771,10.403319
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.712728,10.707868,10.210298
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.010178,10.437927,9.7240525
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.718651,10.768812,10.7437315
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.336086,11.166135,10.7511105
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.805031,9.29475,8.5498905
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.626404,11.364157,10.4952805
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.38553,10.895185,10.1403575
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.878456,10.063886,8.971171
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.799926,10.861757,9.8308415
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.352896,11.447856,10.900376
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.310278,10.302924,9.306601
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.168116,10.356045,9.7620805
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.486867,11.103349,9.295108
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.439102,10.296596,9.367849
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.717176,11.709432,10.713304
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.608623,10.863415,9.736019
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.765297,11.580126,10.6727115
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.706779,10.987802,9.8472905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.546921,10.665301,10.106111
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.994155,11.280948,10.6375515
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.141303,10.880992,10.5111475
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.035197,11.303979,10.669588
