"","sample","tissue","endometriosis","severity","p217457_s_at","p229905_at","RAP1GDS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,6.589588,6.6058815
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.052103,8.52324,7.7876715
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,6.622876,6.6225255
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,7.909376,7.2657755
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.836141,7.828609,7.332375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.247073,7.225281,7.236177
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.114057,5.70506,6.4095585
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.462615,6.93126,7.1969375
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,7.678731,7.150453
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.999273,7.393452,7.1963625
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.396606,7.354226,7.375416
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.119571,7.729043,7.424307
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,6.280828,6.4515015
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.216933,7.352819,7.284876
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,7.295504,6.9588395
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.731187,7.47641,7.1037985
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,6.949741,6.785958
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.068843,6.898155,6.983499
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.074738,7.104204,7.089471
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.463055,5.687941,5.575498
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.620007,6.809398,6.7147025
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.469062,4.672027,5.5705445
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.887771,3.650444,4.2691075
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.162246,4.708579,5.4354125
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.935942,3.650444,4.793193
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.910196,3.713045,3.8116205
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.465377,3.650444,5.0579105
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.338322,5.219569,5.7789455
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.910196,3.650444,3.78032
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.207638,4.102225,4.1549315
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.046243,3.650444,3.8483435
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.703397,3.772042,4.7377195
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.075865,3.650444,4.8631545
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.998411,4.441803,5.720107
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.007074,5.100668,6.053871
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.133727,2.956274,4.5450005
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.910196,3.705955,3.8080755
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.593266,7.10235,6.847808
