"","sample","tissue","endometriosis","severity","p222906_at","p228191_at","FLVCR1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.99134,8.133483,6.5624115
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.733209,6.994458,6.3638335
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.78482,6.87993,4.832375
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.848386,6.932075,5.8902305
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.268104,7.868713,6.5684085
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.914029,7.38779,6.1509095
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.855467,6.26505,5.0602585
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.206585,7.078042,5.6423135
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.480151,7.99145,6.7358005
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.337422,6.869774,5.103598
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.734904,7.69612,6.215512
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.746618,7.978539,6.8625785
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.923734,7.403812,5.663773
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.507222,7.202896,6.355059
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.295418,8.599481,7.4474495
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.793863,7.390413,6.592138
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.821569,7.344929,6.083249
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.613307,7.510624,6.5619655
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.385945,7.484438,5.9351915
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.66424,7.124967,6.3946035
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.240997,8.434599,7.337798
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.101945,7.655338,6.8786415
