"","sample","tissue","endometriosis","severity","p213461_at","p224830_at","NUDT21"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.688844,11.681466,8.685155
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.264826,10.72725,9.496038
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.1924,10.690824,7.941612
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.165485,9.471446,7.3184655
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.380252,11.807712,10.093982
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.653151,10.3294,7.4912755
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.142501,8.959453,6.050977
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.150169,10.546033,8.348101
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.215345,10.915141,9.065243
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.780376,10.555397,8.1678865
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.138697,11.427888,9.7832925
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.259188,11.062633,9.1609105
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.76279,9.039285,6.9010375
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.082444,11.249358,9.165901
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.504029,11.458327,8.981178
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.576231,10.28781,7.9320205
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.004621,10.141075,7.572848
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.871391,10.589526,8.2304585
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.01264,10.525691,8.2691655
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.653151,9.080037,6.866594
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.671078,10.056299,7.8636885
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.217882,9.210646,7.214264
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.082463,8.629534,5.8559985
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.653151,8.523584,6.5883675
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.206247,9.002028,6.1041375
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.082463,9.223274,6.1528685
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.589973,8.24713,5.9185515
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.969677,10.287612,8.1286445
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.587101,9.806697,6.196899
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.648433,9.817826,7.2331295
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.279699,9.731549,6.505624
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.538677,10.613577,7.576127
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.391286,8.107905,5.2495955
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.64303,8.804966,6.223998
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.529455,10.880021,8.704738
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.75801,8.976688,6.867349
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.751527,9.632402,6.6919645
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.576231,9.504303,7.540267
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.143817,9.801845,6.972831
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.057872,8.894901,5.9763865
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.72405,10.583894,7.653972
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.069175,8.18801,6.1285925
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.574268,8.586072,6.08017
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.659045,9.561158,7.1101015
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.361971,8.903024,6.6324975
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.183873,10.102917,7.643395
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.368812,8.990615,6.1797135
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.92367,9.445276,6.684473
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.593977,8.288798,5.9413875
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.782402,8.639147,6.2107745
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.406735,9.281419,6.344077
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.067115,8.104105,5.58561
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.693162,9.862012,6.777587
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.576231,10.688344,8.1322875
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.375603,10.476395,7.925999
