"","sample","tissue","endometriosis","severity","p205113_at","p223902_at","NEFM"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.413956,2.236067,3.8250115
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.413956,2.236067,3.8250115
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.114361,2.236067,4.675214
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.158481,2.236067,3.197274
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.041018,2.236067,2.6385425
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.326383,2.236067,5.781225
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.413956,2.236067,3.8250115
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.433024,2.236067,3.8345455
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.03432,2.236067,5.1351935
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.966115,2.236067,2.601091
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.152244,2.236067,5.1941555
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.544238,2.236067,3.8901525
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.763045,2.236067,2.499556
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.966115,2.236067,2.601091
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.411997,2.236067,2.324032
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.073359,2.236067,2.654713
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.721652,2.236067,2.4788595
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31511,2.236067,3.7755885
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.721652,2.236067,2.4788595
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.236067,2.236067
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.850481,2.236067,4.043274
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.589778,2.236067,3.9129225
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.392236,2.236067,3.8141515
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.894491,2.236067,2.565279
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.870491,2.236067,2.553279
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.987069,2.236067,4.111568
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.721652,2.236067,2.4788595
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.435536,2.236067,3.3358015
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672043,2.236067,3.954055
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.721652,2.236067,2.4788595
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.735043,2.236067,2.985555
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.910525,2.236067,4.573296
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.860896,2.236067,4.0484815
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.55878,2.236067,3.3974235
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.324166,2.236067,5.2801165
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.768724,2.236067,4.5023955
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.170423,2.236067,5.203245
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.242606,2.236067,4.2393365
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721652,2.236067,2.4788595
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.003508,2.236067,4.6197875
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.85906,2.236067,3.5475635
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.486146,2.236067,4.3611065
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.203855,2.236067,3.219961
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.413956,2.236067,3.8250115
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.832129,2.236067,3.534098
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.428017,2.236067,2.832042
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.490387,2.236067,3.863227
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.746495,2.236067,2.491281
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.701902,2.236067,3.9689845
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.939839,2.236067,3.087953
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.854687,2.236067,2.545377
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.587734,2.236067,2.4119005
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.361545,2.236067,2.798806
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.227664,2.236067,3.7318655
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.029728,2.236067,4.1328975
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.487744,2.236067,2.8619055
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.669896,2.236067,2.9529815
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.328267,2.236067,5.282167
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.096256,2.236067,4.1661615
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.141897,2.236067,2.688982
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.762654,2.236067,5.4993605
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.797982,2.236067,5.0170245
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.738662,2.236067,5.4873645
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.269685,2.236067,3.752876
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.015821,2.236067,5.125944
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.48624,2.236067,2.8611535
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.801955,2.236067,4.519011
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.887495,2.236067,5.061781
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.140313,2.236067,4.18819
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.730481,2.236067,3.983274
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.551544,2.236067,4.3938055
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.414047,2.236067,3.825057
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.224291,2.236067,6.230179
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.361068,2.236067,4.7985675
