"","sample","tissue","endometriosis","severity","p200797_s_at","p214057_at","MCL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.05666,6.937394,9.997027
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.223799,8.081059,10.652429
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.598229,7.879688,10.7389585
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.519298,7.037817,10.2785575
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.115998,6.048038,9.082018
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.959909,7.186486,10.0731975
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.13324,7.701687,10.4174635
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.349621,8.125277,10.737449
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.54431,6.514544,9.529427
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.272866,8.645484,11.459175
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.836685,6.02243,8.9295575
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.386991,7.694795,10.540893
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.571969,7.916635,10.744302
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.37102,6.231205,9.3011125
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.498448,6.188917,9.3436825
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.950908,6.156397,9.5536525
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.115949,6.688041,9.901995
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.607058,6.543639,9.5753485
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.500664,6.097319,9.2989915
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.027242,8.555471,9.7913565
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.169742,8.367513,9.7686275
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.883082,8.050585,9.4668335
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.98657,9.347612,10.667091
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.852243,7.493774,9.1730085
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.913648,6.688041,8.3008445
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.789743,6.688041,8.238892
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.472509,6.821318,8.1469135
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.040069,7.598264,9.3191665
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.530037,7.236442,9.3832395
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.074171,7.173906,8.6240385
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.015184,7.189079,9.1021315
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.172827,7.570889,9.371858
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.503374,6.048038,7.275706
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.264493,6.688041,7.976267
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.946194,9.253351,10.5997725
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.361142,7.186934,8.774038
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.325255,6.728288,8.0267715
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.719558,8.114006,9.916782
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.197131,7.607617,8.902374
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.263785,6.710651,8.487218
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.029738,9.298707,10.6642225
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.753959,7.201432,8.9776955
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.578528,8.876064,10.227296
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.75973,10.639589,11.6996595
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.608528,7.235338,8.921933
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.734812,8.169722,9.452267
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.915691,7.364533,8.640112
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.394971,8.464387,9.929679
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.481618,7.976408,9.229013
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.921016,6.710651,8.3158335
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.381197,6.710651,8.545924
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.131523,7.518521,8.825022
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.172525,7.58577,8.8791475
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.908828,6.688041,8.2984345
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.537107,8.08076,9.3089335
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.657225,8.919355,10.28829
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.329922,6.710651,8.5202865
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.251004,8.105502,9.678253
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.869822,8.65964,10.264731
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.388346,8.571469,9.9799075
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.465198,6.817883,8.6415405
