"","sample","tissue","endometriosis","severity","p40148_at","p212970_at","p213419_at","APBB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.883307,6.713724,2.926814,4.84128166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.294193,6.474892,4.068684,5.27925633333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.932852,7.774153,5.925253,6.544086
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.1302,7.227484,3.577137,5.311607
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.833571,7.184691,5.060016,6.359426
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.943943,6.584735,3.106356,4.87834466666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59924,6.815769,3.064396,5.15980166666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.51365,8.289751,5.06474,6.62271366666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.941101,7.74537,5.264773,6.31708133333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.145041,6.727322,4.28603,5.386131
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.490887,7.037795,4.964021,6.16423433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.192493,7.848025,4.888118,6.30954533333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.873457,7.952114,3.501133,5.44223466666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.374443,7.870334,5.502268,6.249015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.671801,7.112426,3.853093,5.21244
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.664205,7.666664,4.540786,5.95721833333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.873705,7.050482,4.076176,5.33345433333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.664738,7.120732,3.106356,5.29727533333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.341393,7.790509,5.283502,6.47180133333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.372763,5.646953,3.44188,4.48719866666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.446788,6.118726,3.299274,4.621596
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.489242,6.550263,2.992365,4.67729
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.749046,6.925163,4.468439,5.04754933333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.031474,6.625289,3.408439,5.021734
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.391055,5.83319,2.584047,3.93609733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.807958,5.257173,2.584047,3.549726
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.970372,5.257173,2.428783,4.218776
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.686244,6.139136,3.106522,4.64396733333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.133689,5.933118,2.414837,3.82721466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.751402,5.916922,2.726659,4.131661
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.398319,6.241529,2.584047,4.07463166666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.844501,6.564857,2.721133,4.71016366666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.55804,5.257173,2.584047,4.13308666666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.946109,5.54096,2.584047,4.02370533333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.858781,6.820359,3.60717,5.09543666666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.369991,5.257173,3.299274,4.30881266666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.190233,5.736878,2.926814,4.28464166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.963735,6.929312,3.824632,5.23922633333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.321336,5.34616,3.007409,3.891635
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.433831,5.580257,2.854811,3.95629966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.965746,6.772862,3.299274,5.01262733333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.090499,6.815769,3.299274,5.068514
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.336494,5.949336,2.414837,3.90022233333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.487038,7.582977,4.123477,5.731164
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.230103,6.21597,2.926814,4.457629
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.026724,6.182757,3.163685,4.457722
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.002942,6.522331,2.584047,4.36977333333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.347094,5.720618,2.943199,4.003637
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.688946,5.515621,2.584047,4.26287133333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.177161,5.257173,2.584047,4.006127
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.145693,5.257173,2.584047,3.66230433333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.808481,5.257173,3.069251,4.37830166666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.249432,6.736796,2.584047,4.523425
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.537066,5.028686,2.414837,3.66019633333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.836289,6.436429,2.926814,4.73317733333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.114777,6.436781,3.450926,5.000828
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.607847,5.957766,2.473653,4.346422
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.865738,6.451194,2.952074,4.75633533333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.039684,7.375256,5.52619,6.31371
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.28965,5.974145,2.927828,4.730541
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.997528,6.307163,3.108835,4.47117533333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.868173,6.815769,5.00465,5.89619733333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.626882,7.237617,4.331297,5.731932
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.755717,7.713001,4.956715,6.141811
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.00196,5.921379,2.926814,4.61671766666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.55094,5.602377,2.850127,4.001148
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.221913,6.829299,3.693862,5.248358
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.508276,7.267034,5.850819,6.542043
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.211392,7.209264,5.423694,6.28145
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.812338,7.155348,4.753708,5.90713133333333
