"","sample","tissue","endometriosis","severity","X1007_s_at","X1552257_a_at","X1552302_at","X1552370_at","X1552474_a_at","X1552486_s_at","X1552667_a_at","X1552719_at","X1552889_a_at","X1552930_at","X1552978_a_at","X1553275_s_at","X1553286_at","X1553647_at","X1553677_a_at","X1553689_s_at","X1553694_a_at","X1553695_a_at","X1553696_s_at","X1553703_at","X1553749_at","X1553858_at","X1553956_at","X1553960_at","X1553961_s_at","X1553962_s_at","X1553968_a_at","X1553989_a_at","X1554076_s_at","X1554077_a_at","X1554145_a_at","X1554154_at","X1554167_a_at","X1554171_at","X1554202_x_at","X1554241_at","X1554260_a_at","X1554316_at","X1554455_at","X1554470_s_at","X1554480_a_at","X1554588_a_at","X1554769_at","X1554868_s_at","X1554915_a_at","X1555201_a_at","X1555243_x_at","X1555259_at","X1555310_a_at","X1555311_at","X1555501_s_at","X1555600_s_at","X1555735_a_at","X1555758_a_at","X1555759_a_at","X1555781_at","X1555812_a_at","X1555831_s_at","X1555848_at","X1555868_at","X1555874_x_at","X1555878_at","X1555962_at","X1556116_s_at","X1556308_at","X1556345_s_at","X1556385_at","X1556590_s_at","X1557053_s_at","X1557066_at","X1557067_s_at","X1557073_s_at","X1557116_at","X1557240_a_at","X1557350_at","X1557411_s_at","X1557419_a_at","X1557433_at","X1557551_at","X1557828_a_at","X1558142_at","X1558173_a_at","X1558214_s_at","X1558250_s_at","X1558281_a_at","X1558407_at","X1558410_s_at","X1558605_at","X1558693_s_at","X1559437_at","X1559663_at"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.142574,7.511474,6.104687,6.448481,4.083183,4.290113,4.581217,3.038863,6.587117,4.484573,4.956523,4.072791,4.600496,3.66818,7.464167,4.912912,5.801527,3.166106,4.213113,9.785043,6.317889,5.849821,6.316353,7.463259,5.553098,8.450818,5.410003,5.855685,3.132365,3.345395,5.335658,6.147603,7.353164,6.4813,4.23033,9.791126,6.074978,5.468523,5.772322,4.687883,8.515364,5.543637,5.962419,10.109686,5.689707,6.474829,7.267971,6.479352,3.677482,3.139551,5.945771,6.259937,5.979519,6.601228,6.017187,3.582405,8.076109,7.741267,5.810652,5.9518,7.291615,8.418523,4.829118,4.053178,5.072316,7.315018,6.880645,4.410505,9.5105,7.001506,8.828857,5.105732,6.407669,5.885348,4.575852,5.738083,7.887034,4.912213,2.236067,6.43732,9.719441,4.920878,5.90977,6.632752,5.560393,5.282408,5.982771,2.392439,6.042134,3.747481,3.728613
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.063049,8.031766,3.587175,6.712542,3.782646,4.301305,4.587505,2.850773,5.998291,5.205437,6.693633,3.58454,4.734274,3.684648,7.736967,5.133833,7.041718,4.469719,4.014393,9.396746,6.214552,5.643223,6.148818,6.806661,7.470862,9.604552,5.410003,5.549349,3.132365,3.345395,6.59609,6.386436,9.633319,5.953232,4.941298,9.179467,7.114871,5.598307,3.641685,4.38383,8.354785,4.207102,5.023838,11.34583,4.937996,8.026517,7.27523,5.49236,4.536046,2.236067,5.93535,7.967352,6.141693,9.369621,3.654365,2.940949,7.377771,8.323941,4.975025,5.71034,6.500044,7.125094,4.354579,6.009519,5.072316,7.080894,6.523631,3.443143,8.243533,5.360526,8.261002,4.409633,6.736238,2.800033,5.05212,4.540822,6.670296,5.383462,2.236067,5.638136,10.535703,4.960784,8.428666,5.209691,5.446632,5.054562,5.589977,2.262736,5.507812,3.719644,3.530988
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.371274,7.793815,4.619336,5.053898,3.778297,3.994715,4.713673,3.335726,7.44076,4.014491,5.401339,3.376507,5.123968,3.584206,7.688383,2.992363,6.51494,3.942707,4.156258,8.941439,7.072501,5.711247,6.316353,6.241278,7.217546,6.830034,5.410003,3.439837,3.38116,2.236067,5.192462,7.030306,9.38585,5.869835,5.754553,8.133293,5.614308,5.85375,4.204132,4.9825,8.811001,4.937255,5.894958,10.120358,4.698872,6.027358,6.454132,6.486811,3.297284,3.139551,2.964426,6.699092,6.182958,3.269267,7.66322,3.582405,8.717817,7.331499,6.13388,5.01675,7.130556,5.502235,3.944204,5.451646,5.072316,7.157201,8.12701,4.136161,7.810789,4.027506,7.571479,5.902053,7.24165,2.671557,4.395221,3.668179,4.390147,4.900055,2.412729,6.014208,8.628077,5.34662,6.001848,2.964457,3.153165,5.931791,6.770955,2.624889,6.060995,3.58299,2.687323
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.328161,10.330194,4.498046,3.362764,4.346867,4.740147,4.637108,4.527306,6.587117,3.561544,5.796586,4.470399,5.079345,6.836576,7.15508,4.765437,5.866155,4.101155,3.590433,9.717654,6.214552,4.587675,6.156552,7.637812,7.314806,7.789442,5.410003,7.205146,3.38116,3.435127,6.179772,6.143685,8.383498,6.187063,4.564855,10.116457,5.382306,5.18006,5.202408,4.451857,7.207108,3.24464,5.023838,10.83504,5.001786,4.924267,6.921376,5.855021,2.876717,2.236067,5.588929,4.744544,5.935116,2.236067,5.091017,3.976984,8.643632,8.23154,5.842003,6.104514,6.859392,5.987068,5.503598,4.053178,3.59799,6.482984,8.190049,4.020728,9.293888,4.349917,8.018022,4.428116,7.082001,2.942071,5.268353,5.862914,6.895428,5.148291,2.303157,6.811758,8.437879,5.010921,7.335926,4.23377,5.534635,5.378711,6.755195,2.535126,6.521031,3.747481,3.728613
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.053309,8.786554,5.463671,5.649013,4.982704,3.994715,4.736653,2.850773,6.587117,4.06013,6.54889,2.341029,4.590094,3.17034,7.162414,4.045582,6.91611,4.712912,4.630617,9.410647,5.283505,3.582128,7.587008,7.459298,6.355485,7.600529,5.410003,5.575881,3.37711,3.132051,6.339223,5.70005,9.017248,5.97511,4.655193,8.22281,6.124372,5.184912,6.212483,6.313035,8.427546,5.025342,6.287847,10.612661,6.005598,7.378753,7.267971,6.364933,2.876717,2.421178,5.230514,6.515325,7.129997,8.248667,7.459764,3.450058,8.331633,8.722597,5.766193,6.340293,8.045016,7.466354,4.142527,4.053178,5.072316,5.695583,7.013892,4.966023,8.945434,6.291035,8.638712,5.215323,6.559424,5.09263,4.395221,6.626025,4.997272,5.300488,2.478313,6.501898,9.504137,3.80336,9.272459,5.20843,4.921231,5.931791,6.444341,2.585007,6.30188,3.747481,3.113884
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.826959,9.678239,4.498046,3.788632,3.468907,5.205404,4.605105,4.252534,6.718209,4.669189,6.145322,2.942872,5.947989,7.507631,7.028758,3.81724,5.898845,4.1646,3.654714,9.496194,7.104906,5.048571,6.425109,7.354173,7.547378,7.155788,5.410003,5.983846,3.132365,3.71946,6.02389,5.839368,8.044621,5.82724,5.20658,9.885297,5.929401,5.644192,6.060319,4.791466,8.233139,4.590676,6.040429,10.500283,4.919543,5.375926,6.343723,5.914211,4.256873,3.135388,5.261127,5.890358,6.482145,3.153833,5.642503,3.807757,9.268104,7.96861,5.067588,5.553347,7.82293,6.985295,5.503598,4.512891,5.067263,6.421567,7.680557,4.020728,9.098498,4.7551,8.548751,3.921815,7.239712,2.769379,5.200915,5.19689,7.269289,4.912213,2.303157,6.870113,8.991183,5.823981,8.427617,4.228561,4.676389,5.596887,6.431829,2.262736,6.333637,3.719644,3.921805
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.051266,8.872572,2.752397,4.702313,4.346867,3.411609,4.637108,4.156561,7.305976,3.317637,5.185617,4.546169,4.804093,6.154643,7.731443,3.935517,4.227419,3.728452,4.156258,9.466838,6.214552,4.254969,6.224618,6.850974,6.771584,4.652686,5.410003,6.139144,3.37711,3.582981,5.273114,5.922339,6.863393,6.803314,5.905863,8.348549,4.508124,5.85375,4.866307,5.068347,6.998558,3.981788,5.585381,8.451712,4.546666,4.283244,5.401023,6.144833,2.951053,2.236067,5.201124,4.235145,6.102758,4.369208,5.076515,3.313862,8.772101,7.933309,5.112686,6.897529,7.025328,5.611665,5.503598,3.589631,5.072316,6.660372,8.107452,3.947602,8.314283,4.432495,7.232338,5.548996,6.834483,2.800033,4.69025,5.130788,5.662875,4.330776,3.241485,6.501898,7.932084,5.823981,5.373911,3.099071,5.284163,5.540429,6.167481,2.623248,6.253455,3.58299,3.728613
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.916482,8.100171,4.338584,5.536382,4.705375,3.261744,4.581217,3.651613,6.587117,3.547956,4.547124,4.146893,5.318122,3.676933,8.008383,3.788926,4.479573,4.670819,4.156258,9.564315,6.744521,5.027417,6.958222,7.357791,7.799758,5.842349,5.410003,2.944296,3.132365,2.724507,6.332283,5.630895,9.043912,6.068834,4.167267,9.925048,6.076258,5.905487,4.222414,5.432899,8.219193,4.183695,5.804056,10.179789,4.824258,7.197077,8.058578,7.507155,3.8773,2.236067,5.889674,6.996629,6.264219,4.838055,6.791807,4.054529,9.019655,7.77459,5.662563,6.204335,7.177269,5.983624,5.503598,5.94323,5.639561,7.365881,6.853123,4.020728,9.19564,4.978263,8.623469,5.696558,6.518573,3.586191,4.395221,4.540822,5.331332,4.916743,2.465299,6.108488,10.412484,5.677899,6.248704,5.457304,3.796138,5.116765,8.088825,3.678466,7.184504,3.609792,3.728613
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.512921,7.9078,5.454673,6.771225,5.219624,3.264459,4.530791,4.272066,6.587117,4.097764,5.773433,4.447395,5.038554,3.605858,7.713544,4.068471,6.464428,4.38878,3.981812,9.770365,7.404104,5.867648,6.762466,7.476713,7.534792,6.193389,5.410003,5.238716,3.38116,2.724507,6.38886,7.149127,9.169545,5.998173,4.078974,10.116656,5.92295,5.949483,6.074648,5.028209,9.195976,5.025342,6.302401,10.643449,5.141394,7.120607,7.325294,6.850832,4.340793,2.236067,4.877466,6.431907,6.199954,7.997785,5.003704,3.452898,8.153724,8.464798,5.112686,6.563721,6.319961,7.421791,5.063373,5.205943,5.072316,6.998584,6.102526,4.113593,9.393746,6.705695,8.769845,5.376017,6.101487,4.55626,4.732015,5.814753,6.943385,5.630303,2.412729,6.350241,9.957626,4.986005,8.119408,6.240563,4.115646,4.885004,6.827601,5.871146,6.583628,3.719644,3.728613
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.475278,9.937468,5.404538,5.140521,4.067137,6.198629,4.866552,2.955477,6.587117,4.244334,6.592905,4.278259,4.433517,6.857613,6.941144,4.692537,5.84567,3.234021,4.025217,9.045789,6.936828,3.216036,6.444568,8.153089,7.260033,10.168485,5.410003,4.883838,3.19529,3.161282,5.915145,5.820238,8.413342,6.495373,4.626373,9.821397,5.223597,4.89329,5.335825,5.926037,7.704653,4.990638,5.563228,10.312479,5.686377,5.524166,5.789821,4.071062,3.323954,2.236067,4.982867,4.733818,6.38774,5.50874,6.617291,3.582405,11.124766,8.145734,4.975025,5.804546,7.301872,6.943152,6.737223,3.803168,5.072316,6.202298,8.282878,4.020728,9.018763,4.918629,8.122518,4.409788,7.142642,2.800033,3.431933,6.456896,7.19675,4.016323,2.397378,5.975841,8.846114,5.362692,8.958706,3.805209,5.307129,5.658682,5.590154,2.236067,6.856729,3.719644,4.129709
