Probe.Set.ID,Gene.Symbol,Gene.Title,Fold.Change: PE.E - PE.NE.NUPP,Fold.Change: ESE.E - ESE.NE.NUPP,Fold.Change: MSE.E - MSE.NE.NUPP
213432_at,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",8.189688344,NA,NA
201348_at,GPX3,glutathione peroxidase 3 (plasma),7.554761912,NA,NA
205200_at,CLEC3B,"C-type lectin domain family 3, member B",7.158819707,NA,NA
203571_s_at,C10orf116,chromosome 10 open reading frame 116,7.105596103,NA,NA
230378_at,SCGB3A1,"secretoglobin, family 3A, member 1",6.798126709,NA,NA
204437_s_at,FOLR1,folate receptor 1 (adult),6.607773906,NA,NA
204794_at,DUSP2,dual specificity phosphatase 2,6.182645963,NA,NA
39248_at,AQP3,aquaporin 3 (Gill blood group),6.163809984,NA,NA
205382_s_at,CFD,complement factor D (adipsin),6.127284403,NA,NA
219733_s_at,SLC27A5,"solute carrier family 27 (fatty acid transporter), member 5",6.034149831,NA,NA
227804_at,TLCD1,TLC domain containing 1,5.822886346,NA,NA
202856_s_at,SLC16A3,"solute carrier family 16, member 3 (monocarboxylic acid transporter 4)",5.676480108,NA,NA
243110_x_at,NPW,neuropeptide W,5.660575986,NA,NA
220638_s_at,CBLC,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,5.63553574,NA,NA
228058_at,ZG16B,zymogen granule protein 16 homolog B (rat),5.63359967,NA,NA
214091_s_at,GPX3,glutathione peroxidase 3 (plasma),5.500785987,NA,NA
235649_at,ADAMTS8,"ADAM metallopeptidase with thrombospondin type 1 motif, 8",5.338453032,NA,NA
212531_at,LCN2,lipocalin 2,5.231164308,NA,NA
219529_at,CLIC3,chloride intracellular channel 3,4.976178098,NA,NA
230430_at,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,4.879967513,NA,NA
223421_at,CYHR1,cysteine/histidine-rich 1,4.839569149,NA,NA
202018_s_at,LTF,lactotransferrin,4.77418061,NA,NA
219188_s_at,MACROD1,MACRO domain containing 1,4.770432052,NA,NA
206756_at,CHST7,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7,4.755517719,NA,NA
44120_at,ADCK2,aarF domain containing kinase 2,4.735298346,NA,NA
204623_at,TFF3,trefoil factor 3 (intestinal),4.607782194,NA,NA
227829_at,GYLTL1B,glycosyltransferase-like 1B,4.562457037,NA,NA
218985_at,SLC2A8,"solute carrier family 2 (facilitated glucose transporter), member 8",4.559250513,NA,NA
208978_at,CRIP2,cysteine-rich protein 2,4.540295522,NA,NA
230606_at,LOC100287525,hypothetical LOC100287525,4.499811949,NA,NA
242354_at,---,---,4.466766487,NA,NA
231769_at,FBXO6,F-box protein 6,4.449733315,NA,NA
227296_at,MFSD3,major facilitator superfamily domain containing 3,4.448872587,NA,NA
206268_at,LEFTY1,left-right determination factor 1,4.434183124,NA,NA
202274_at,ACTG2,"actin, gamma 2, smooth muscle, enteric",4.414305288,NA,NA
218494_s_at,SLC2A4RG,SLC2A4 regulator,4.41403811,NA,NA
209502_s_at,BAIAP2,BAI1-associated protein 2,4.404591878,NA,NA
214595_at,KCNG1,"potassium voltage-gated channel, subfamily G, member 1",4.386096654,NA,NA
214290_s_at,HIST2H2AA3 /// HIST2H2AA4,"histone cluster 2, H2aa3 /// histone cluster 2, H2aa4",4.294235564,NA,NA
209919_x_at,GGT1,gamma-glutamyltransferase 1,4.286065699,NA,NA
202489_s_at,FXYD3,FXYD domain containing ion transport regulator 3,4.272102684,NA,NA
242939_at,TFDP1,transcription factor Dp-1,4.270170746,NA,NA
221882_s_at,TMEM8A,transmembrane protein 8A,4.257839172,NA,NA
223419_at,FBXW9,F-box and WD repeat domain containing 9,4.236109395,NA,NA
202861_at,PER1,period homolog 1 (Drosophila),4.227688918,NA,NA
