"","Unnamed..0","tissue","endometriosis","severity","p1555278_a_at","p212832_s_at","CKAP5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.53282188409464,7.38133424354447,7.95707806381956
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.89523913689848,8.20994776908463,9.05259345299156
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.6810744116889,6.66130663359231,7.67119052264061
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.79600896482729,7.12276517140691,7.4593870681171
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.62494794136893,8.16402910264734,8.89448852200814
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.39277282561342,6.97978659935019,7.6862797124818
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.93657365689391,6.92188816792452,7.42923091240922
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.84147797046129,7.04528686462616,7.44338241754373
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.23496371275162,7.72766615999855,8.48131493637509
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.19343501577408,7.54111884628892,7.8672769310315
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.78739130270082,7.34300176526339,8.06519653398211
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.36212672928962,7.15450276492218,7.7583147471059
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.72035077671773,6.25872687344246,6.98953882508009
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.52706761931443,8.12034971690223,8.82370866810833
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.99958163046947,8.21578686220169,8.60768424633558
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.7988115878638,7.21538038655788,8.00709598721084
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.49686255664506,7.29378375366313,7.8953231551541
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.3415953956179,6.4208797239146,7.38123755976625
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.24736327568468,6.38258499145932,7.314974133572
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.21131033122946,5.63051763702705,5.42091398412825
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.55746557883575,6.75087202076457,6.65416879980016
