"","Unnamed..0","tissue","endometriosis","severity","p204369_at","p235980_at","PIK3CA"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.21606036789236,4.63364772325217,5.92485404557226
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.11072336783975,4.19834586868966,5.65453461826471
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.93992000057967,4.19834586868966,4.56913293463467
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.89252479693971,4.69738370965247,6.29495425329609
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.24693597333849,4.47471941120672,5.86082769227261
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.72473574714665,4.35017886877854,6.0374573079626
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.66025839616761,4.19834586868966,5.42930213242864
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.95544073723307,4.12143291668314,5.5384368269581
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.95193200652667,4.7188780752567,6.33540504089168
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.40320697960814,4.19834586868966,5.8007764241489
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.61597111913469,4.21900738414767,5.41748925164118
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.38606619359994,4.44254481460276,5.91430550410135
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.76931275036315,4.09941671331819,5.43436473184067
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.18331926668077,4.19834586868966,5.69083256768521
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.77077184844572,4.55521211355795,5.66299198100183
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.16951922762227,5.64271548618704,6.90611735690466
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.56561986917125,5.66729331358536,7.11645659137831
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.06582728136651,4.85118721355978,5.95850724746315
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80139349782075,5.39854743561595,6.59997046671835
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.676494641957,4.32264191376863,4.99956827786282
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.21143332035525,4.08827326763615,3.6498532939957
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.29691475582439,4.15192005054505,4.22441740318472
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04657781773037,4.09941671331819,4.07299726552428
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.90281229673559,4.09941671331819,4.00111450502689
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.01470971047775,4.12143291668314,4.06807131358044
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.0242451974649,4.09941671331819,3.56183095539155
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.26032555586022,3.51012950406875,3.38522752996449
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.99092804989438,4.09941671331819,4.54517238160629
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.72806517607218,4.09941671331819,3.91374094469518
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.14726609326088,4.12143291668314,3.63434950497201
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.15828997939817,3.5492675068502,3.35377874312419
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.78276576563536,3.91213087631806,4.34744832097671
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.0242451974649,4.19834586868966,3.61129553307728
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.14726609326088,3.51012950406875,3.32869779866482
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.9597307415311,5.04404324995459,6.00188699574285
