"","Unnamed..0","tissue","endometriosis","severity","p225250_at","p225246_at","p234140_s_at","STIM2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.21512333706256,6.79033590555396,6.64404874119745,5.88316932793799
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,6.6406943462816,6.9402200880339,5.83590673975386
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,6.21734590060564,6.98101468162054,5.70838878905742
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.90146134886829,7.22337399758643,7.28415419189182,6.46966317944885
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.34480955925221,7.18433340988214,7.59437699678524,6.70783998863986
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.27208458886856,6.49436229498654,6.71809038103738,5.82817908829749
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,6.50149556904511,6.94394240282915,5.79074791894011
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,5.95445402669699,7.37988680061741,5.75371553742016
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.47031641963477,7.19936683129605,7.79767162773076,6.48911829288719
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.48971772152493,7.27985403414133,7.47879308081438,6.41612161216021
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,5.95445402669699,6.88814738678226,5.58980239947511
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.27114274479585,6.51610294278832,6.4110387405715,5.73276147605189
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,5.8819334376971,6.01050857877419,5.27308260047245
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.03783044194161,7.65955934573145,7.90716473214886,6.86818483994064
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.59957448876291,6.01742985912053,7.32056455319881,5.97918963369408
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.77346321955056,6.96890098934956,7.1637234116364,6.30202920684551
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,5.8819334376971,6.40234380018352,5.40369434094223
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.96786269144553,6.44326101434165,6.81924108212249,5.74345492930322
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.10603268408976,5.95445402669699,6.7212579905751,5.59391490045395
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.79736803492828,5.56978055638627,5.9284628672378,5.09853715285078
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,4.05849441162514,5.77369232420844,4.58633084025988
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.32118922204805,5.8819334376971,5.69341395616695,4.96551220530403
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.46477561937041,5.65086331556791,5.03839202179151,4.71801031890994
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,4.59463319333612,5.25201865132668,4.59115254320296
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.04543291708516,4.09106453870271,5.03839202179151,4.05829649252646
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.04543291708516,3.04397369126048,4.1713839387182,3.42026351568795
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.73296874686544,4.87876448258438,5.03839202179151,4.21670841708044
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.72710645043184,5.26154642335059,6.02112155478999,5.00325814285747
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43360253898006,3.29463606170425,5.45165663831443,3.72663174633291
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.20644099029927,3.12105833395693,5.03839202179151,3.78863044868257
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.1430905684121,2.98094298210031,5.03839202179151,3.72080852410131
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.35750349465265,4.66151525052915,5.57253997051454,4.53051957189878
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.96333797500363,2.98094298210031,4.33003898389135,3.4247733136651
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.04543291708516,3.04397369126048,4.1713839387182,3.42026351568795
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.92680578494607,6.07534129609495,6.48275511153075,5.49496739752392
