"","Unnamed..0","tissue","endometriosis","severity","p219096_at","p229906_at","ARMC7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.10676397693597,4.77257701806679,5.93967049750138
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.89496298769728,3.9308041355855,5.41288356164139
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.55364514831557,5.09787108738844,6.32575811785201
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.38894055342791,5.36920703844947,6.37907379593869
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.87073877188838,4.93011298032798,6.40042587610818
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.82800106501123,5.47154945583402,6.64977526042262
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.15258923407034,5.23103317300094,6.19181120353564
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.44837141476588,5.26680390299599,6.35758765888094
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.89496298769728,3.7699613816799,5.33246218468859
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.89496298769728,5.26680390299599,6.08088344534664
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.97033056983758,3.69921903524508,5.83477480254133
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.4015182596939,4.65166485480199,6.02659155724795
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.73843737730825,5.42851570114152,6.58347653922488
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.45776671769533,4.24150552985591,5.84963612377562
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.50467699517185,5.02413456550842,6.26440578034013
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.34500767016855,4.62226336501445,5.9836355175915
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.93541109116464,4.41632450863741,5.67586779990102
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.69115293639519,4.65802655937214,6.17458974788367
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.89496298769728,4.71777756399014,5.80637027584371
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.17401597169766,7.16577361596485,7.66989479383126
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.14523856207235,6.80284804849742,7.47404330528489
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.11564033663378,7.3569769545182,7.73630864557599
