"","Unnamed..0","tissue","endometriosis","severity","p225629_s_at","p227047_x_at","ZBTB4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.3182642281547,7.14025727112918,8.72926074964194
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.56835847146156,7.09606089943385,8.3322096854477
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.47288597644467,7.84025874031625,8.65657235838046
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2443643221233,7.19113663747362,8.71775047979846
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2745670966646,7.6200193284234,8.947293212544
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.088447512365,7.06172417369405,8.57508584302952
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.5866172442005,7.84674658812635,8.71668191616343
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.9535719468524,7.8205306704834,9.3870513086679
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.1886331310412,7.29664622159661,8.74263967631891
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.91379726491354,8.16360612000796,9.03870169246075
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.64293117059871,7.05280044716495,8.34786580888183
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.14523543564,7.01268228519477,8.57895886041739
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.57570260986905,8.21742403917159,8.89656332452032
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.4354979181378,7.26613024003069,8.85081407908424
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.5645837107083,7.21502916720223,8.88980643895527
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.4755420809646,7.39276288842755,8.93415248469607
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.3955405326141,7.19121236104383,8.79337644682897
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.99642437485707,7.51150556461871,8.75396496973789
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.69547341495717,7.42184483852504,8.55865912674111
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.1559226641606,8.28609842413563,10.2210105441481
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.8608460444935,7.78781817518597,9.82433210983974
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.01173361948,8.67620762098136,10.3439706202307
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.1106876340036,8.11699589636491,9.61384176518425
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.9258241828777,8.4787775650951,10.2023008739864
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.221740237322,8.92699446705679,10.5743673521894
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.3707790863819,9.31043596935401,10.840607527868
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.1849157258106,8.47713238630882,9.83102405605971
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.6646380594815,8.13659064352066,9.90061435150108
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.1830620449901,8.68796765155007,10.4355148482701
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.1724850493563,8.48618467313023,10.3293348612433
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.8261220575321,8.65789580320601,9.74200893036905
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.143416072755,7.93162412950364,10.0375201011293
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.5895512851608,9.03839432533901,10.3139728052499
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.8784527074298,8.43042452936124,10.1544386183955
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.7567127732962,7.88875820233965,9.82273548781793
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.1640490555388,9.48118297930494,10.8226160174219
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.265651988808,8.81530388482579,10.5404779368169
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.743251951147,7.66235202897742,9.70280199006221
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.0059922877724,7.87824067260802,9.94211648019021
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.070085552072,9.24439789870156,10.6572417253868
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.5561879642628,7.83418222366423,9.69518509396351
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.0247015995284,8.34004642755553,10.182374013542
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.4905137037345,8.54018298327949,10.515348343507
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.9206651041618,8.11495652345733,10.0178108138096
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.4098448406548,9.31724523693189,10.8635450387933
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.4852872883772,7.82410643715724,9.65469686276722
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.8775186073623,8.18459562873899,10.0310571180506
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.4408319761132,8.06668513332368,9.75375855471844
