"","Unnamed..0","tissue","endometriosis","severity","p1557100_s_at","p241955_at","HECTD1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.69348709891424,4.38738210547939,4.04043460219682
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.67354827059192,5.18073977743926,6.42714402401559
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.57607320245053,4.38738210547939,4.48172765396496
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.35584745436563,5.48433254256388,5.42008999846476
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.1656932117835,4.69698798310156,5.43134059744253
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.17251645837515,5.32924174968839,6.25087910403177
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.08150450469649,5.5398692496039,5.81068687715019
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.54407648419232,5.18073977743926,4.86240813081579
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.43154855370869,5.18073977743926,5.30614416557397
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80251145158839,4.69698798310156,5.24974971734497
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.8197430577986,5.30418430175911,6.06196367977885
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.94148860746553,4.69698798310156,4.81923829528355
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.65260416854845,5.55002407467994,5.10131412161419
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.19341470625214,5.71785503109594,5.45563486867404
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.54147639079251,4.82888472004797,4.68518055542024
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.76344609584088,5.23396706600761,5.49870658092425
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.67458228957149,4.98582545503748,4.83020387230449
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.71998033150965,6.28858285461653,6.50428159306309
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.19171122489706,6.32842809782832,6.26006966136269
