"","Unnamed..0","tissue","endometriosis","severity","p219639_x_at","p232683_s_at","p234710_s_at","PARP6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.95185873667441,8.83292906830559,5.78121759742536,7.85533513413512
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.34779013083059,8.42275002751917,5.36158686538874,7.3773756745795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.05360642637502,8.26615929347288,4.94530687070663,7.42169086351818
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.11053354372446,8.8778444801465,6.27789377268047,8.08875726551714
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.53960523894278,8.45053483890282,5.43724349242385,7.47579452342315
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71910086191252,8.93479912316226,5.14887246298126,7.60092414935201
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.76357084112529,7.91321484542396,4.12119525335784,6.93266031330236
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.32234811002825,9.02093805843588,5.65424541026911,7.99917719291108
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.9665731009517,8.83143994254726,5.46738403878359,7.75513236076085
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.75064700429943,8.39623585064287,4.81675008031733,7.32121097841988
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.48976683556978,8.17625835674907,5.12341350447892,7.26314623226592
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.69983525693459,8.51546308101936,6.05771853440824,7.7576722907874
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.06381613319475,9.2174121254093,5.58176034701005,7.9543295352047
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.63275901490615,8.8218329457527,5.20797190213098,7.55418795426328
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.74178879044794,9.06996075883676,5.28568000193674,7.69914318374048
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.62430137704177,8.55485673068485,5.3540750140467,7.51107770725777
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.64868921792964,8.54476944648805,4.88970401864815,7.36105422768861
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.34506623647285,8.39873723383305,4.52670256813977,7.09016867948189
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.3210752529074,7.82225629076602,4.16844158403877,6.77059104257073
