"","Unnamed..0","tissue","endometriosis","severity","p229857_s_at","p230388_s_at","KANSL1-AS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,5.40352482853408,3.81977637194135
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.20449909964534,6.33739008822327,4.7709445939343
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.48686604774914,4.89253922798058,4.18970263786486
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,4.56669143667352,3.40135967601107
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.25764903798906,6.55297933479732,4.40531418639319
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.88725686579293,7.79935222406169,5.34330454492731
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.77822056105425,3.73242608770436,3.2553233243793
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.34650697560902,5.63159333487368,4.48905015524135
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.2565575825116,3.79378551378524,3.02517154814842
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,6.28762314876179,4.26182553205521
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,4.6438904249644,3.43995917015651
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.75876552488985,5.88583472124076,4.3223001230653
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.77822056105425,4.59372080383481,3.68597068244453
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.30899677175438,4.19067484064408,3.24983580619923
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.77822056105425,4.11775035710714,3.4479854590807
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.60078714787248,6.14680513541392,4.3737961416432
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.8169699680272,7.65081308894023,5.23389152848372
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,6.33749598044329,4.28676194789595
