"","Unnamed..0","tissue","endometriosis","severity","p58994_at","p221888_at","CC2D1A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.8789603287939,4.52686804113588,6.20291418496489
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.78850883925255,4.90402668798241,6.34626776361748
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.84377518391051,4.81810030827103,5.83093774609077
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.34416081473847,4.56778794795728,6.45597438134787
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.31240302694171,3.93708434961434,6.12474368827803
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.44291636738266,3.9757451342195,6.20933075080108
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.39221959888879,4.54017921210471,5.96619940549675
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.64679530428676,4.66645366575204,6.6566244850194
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.08556938853529,4.54017921210471,6.31287430032
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.54124673036424,4.47169140780457,6.0064690690844
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.00356582701479,4.69201878814947,6.34779230758213
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.07196706703875,4.59619386092982,6.33408046398429
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71212582714394,4.54017921210471,6.62615251962433
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.5068980929669,4.68656804605766,6.59673306951228
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.95402054362957,4.42621469824662,6.19011762093809
