"","Unnamed..0","tissue","endometriosis","severity","p209320_at","p209321_s_at","ADCY3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71949858954714,7.63892430065673,7.67921144510193
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.86329566914884,7.83251439383391,7.84790503149138
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.23058410655544,8.19992486846257,8.71525448750901
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.84368677072288,7.77950634120438,7.81159655596363
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.18291536322055,8.12931446935881,8.15611491628968
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.48175772998907,8.61001408519704,8.54588590759306
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.76386401909047,8.68548017692081,8.72467209800564
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.51640419736168,8.34393513524049,8.43016966630108
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.95584726895098,7.95596897576022,7.9559081223556
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.14270935286524,8.54990945469364,8.34630940377944
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.04445349907294,6.38415592620081,6.71430471263688
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.96664349815944,7.16390728500755,7.0652753915835
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.05551734104078,7.72052000976519,7.88801867540298
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.6353047100315,7.36089969936378,7.49810220469764
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71949858954714,7.61004740203054,7.66477299578884
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.13864943783663,8.57142676949173,8.35503810366418
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.13487489803967,8.37482533924311,8.25485011864139
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.52298852830825,8.89180468982374,8.707396609066
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.29444908843496,9.14351672916664,8.7189829088008
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.40733545915895,8.59709362296835,8.50221454106365
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.77780485569805,7.90892150224182,7.84336317896993
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.43243917344254,9.25779969588869,8.84511943466562
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.15874706720005,6.79295078356039,6.97584892538022
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.01929805070344,9.8040720508113,9.41168505075737
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.82201993161541,9.20835871611393,9.01518932386467
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.36577562530871,8.6539029972894,8.50983931129906
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.75634353649356,5.71576171502439,6.73605262575897
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.17712297699341,7.13284262695927,7.15498280197634
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.25171821465906,8.34671753709651,8.29921787587779
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.71949858954714,7.39504207342154,7.55727033148434
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.36902208547005,6.69265943725769,7.03084076136387
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.69712669763987,7.82594260554684,7.76153465159335
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.0890519065434,7.97052603610391,8.02978897132365
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.13091872777005,8.07990520994046,8.10541196885525
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.00105290824383,8.33094630254768,8.16599960539575
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.75194536475472,9.36611439873061,9.05902988174267
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.10487494682191,8.31490053600453,8.20988774141322
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.19580286777263,8.41635977993216,8.30608132385239
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.65141328946123,6.96650141612372,7.30895735279248
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.4927486353308,8.32236894093231,8.40755878813156
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.53507585818383,7.11669871827808,7.32588728823096
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.95699384931244,8.38645010020614,8.17172197475929
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.93125975201111,7.70179539626422,7.81652757413767
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.7320097743492,8.98698832782605,8.85949905108762
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.79620420849303,9.18321174571567,8.98970797710435
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.28780723816766,6.57794595205279,6.93287659511022
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.71949858954714,5.99695670349129,6.85822764651921
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.39552631837274,6.02836900215826,6.7119476602655
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.89230177257008,8.9049449392011,8.89862335588559
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.66699419530832,6.96926705952689,7.31813062741761
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.71949858954714,7.22095063046227,7.4702246100047
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.30148980729379,8.530163059486,8.4158264333899
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.08281388966385,8.21864231447219,8.15072810206802
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.87245325033696,6.4420226054324,6.65723792788468
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.12054789442733,7.6035251885574,7.86203654149237
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.1378360653779,6.3036424756032,6.72073927049055
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.41405259155316,7.37821376470761,7.39613317813038
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71949858954714,8.6228952334116,8.17119691147937
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.03493020792763,8.95820816077692,8.49656918435227
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.73811725013906,7.8775606262667,7.80783893820288
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.71949858954714,8.0003477159568,7.85992315275197
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.88880962998098,9.10064901650767,8.49472932324433
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.36902072521425,9.28121300230718,8.82511686376072
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.66214015786471,6.97322738508941,6.81768377147706
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.13018618849788,7.79928845372656,7.46473732111222
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.92842291804577,8.45272750849639,8.19057521327108
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.87618475193355,8.14087864941176,8.00853170067266
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.06266495052328,7.51778112683494,7.29022303867911
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.88675799825016,7.67350575803191,7.28013187814103
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.04331319909077,7.56558163324209,7.30444741616643
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.53476974487615,8.23382172562748,7.88429573525181
