"","Unnamed..0","tissue","endometriosis","severity","p203322_at","p203321_s_at","ADNP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.45938338006574,7.45552018848321,6.95745178427448
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.68088559666267,7.81657431071934,7.24872995369101
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.19399279138414,7.13158546086731,6.16278912612573
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.45319812335757,7.52306527970167,6.98813170152962
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.22447476250007,7.22612595586702,6.72530035918354
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25278068188847,6.75364935410296,6.50321501799571
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.55497372772945,6.94307895797789,6.24902634285367
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.35890390325857,7.23273400657564,6.79581895491711
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.16869499475381,7.79880219686092,6.98374859580736
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.29795352230377,7.2218262961931,6.75988990924844
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.55762630527409,8.03423552967055,7.29593091747232
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.29795352230377,7.43277452444438,6.86536402337407
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.636539361189,7.84521402990289,7.24087669554594
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.92776065829442,8.26509364721156,7.09642715275299
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.29795352230377,7.92503836266794,7.11149594248585
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.0584376376419,7.73137715348323,6.89490739556256
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.14877246758623,7.16954564802476,6.6591590578055
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.30677545489748,7.07267168613614,6.68972357051681
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.35055048851806,7.70184934479121,6.52619991665463
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.07054355719136,5.8650791229741,5.96781134008273
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.38541737608347,6.23944363790831,6.31243050699589
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.48538623107657,5.84844873634969,5.66691748371313
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.29795352230377,6.7042700723941,6.50111179734894
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.11589252229132,5.78409680987523,5.94999466608327
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.1851593527081,5.86410655915228,5.52463295593019
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.34324085286195,5.78409680987523,5.56366883136859
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.99236781171798,5.78409680987523,5.8882323107966
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.36836265935863,6.06123862396635,6.21480064166249
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.1068968820718,5.98026202374763,6.04357945290972
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.67690655194168,5.27110822299542,5.47400738746855
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.75889687131353,6.15568672377469,6.45729179754411
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.09186325806032,5.81104434008883,5.95145379907457
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.65273992340329,5.78409680987523,5.21841836663926
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.90505701175816,5.78409680987523,5.34457691081669
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.75796216431277,7.24110266191105,7.49953241311191
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.07216249300808,6.15219206443067,6.11217727871938
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.6587264342166,5.81104434008883,5.73488538715272
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.63240275199427,6.56332057091742,6.59786166145584
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.14381375882304,5.78409680987523,5.96395528434913
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.09719503801337,4.9687600143794,5.53297752619638
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.37014452907138,6.64606987655518,6.50810720281328
