"","Unnamed..0","tissue","endometriosis","severity","p41386_i_at","p213146_at","KDM6B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.03803587248869,5.70970289004308,5.87386938126589
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.76953340923409,5.35853215096702,5.56403278010055
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.58408664069568,5.07909060150422,6.33158862109995
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.5269202816108,5.61529974657256,6.07111001409168
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.70749945731052,6.81174882688952,6.75962414210002
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.59113778224416,5.93401865827998,6.26257822026207
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91551568626277,4.73397643818104,5.32474606222191
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.60978358478621,6.09826216406281,6.85402287442451
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.38407176596556,5.29495166751942,5.83951171674249
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.67065712181175,6.76446324671941,6.71756018426558
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.68169761834287,6.1990415901299,6.44036960423638
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.4565164087619,6.94815765642093,7.20233703259141
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.07981551644194,7.49546308239424,7.78763929941809
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.87874469548795,6.54167800104942,6.71021134826869
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.39760440164621,5.8162775156277,6.10694095863695
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.96827133753111,6.03062655312993,6.49944894533052
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50540992994992,5.9226942058393,6.21405206789461
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.71288969881898,6.22383705922845,6.46836337902372
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.91604045799591,5.55209758581168,6.2340690219038
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.48907156283871,7.58138224725126,7.53522690504498
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.65570696792913,6.70259229951868,6.67914963372391
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.11438360764519,7.2776321562031,7.19600788192415
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.55459993132847,9.5887174746705,9.57165870299949
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.86415692851184,7.5565640659133,7.71036049721257
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.59304925912502,8.18278428997526,7.88791677455014
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.98313933385466,8.16829220024147,8.07571576704806
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.72172380805076,6.70525761751374,7.21349071278225
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.54890577126182,8.00087858163706,7.77489217644944
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.02557152977179,7.83473155717679,7.93015154347429
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.44450331187294,7.03555032084959,7.24002681636127
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.89001065535715,7.40091098522593,7.64546082029154
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.26365621427208,8.85310608399865,8.55838114913536
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.0913894983209,9.00340930793147,9.04739940312619
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.39817851176222,8.77504060025289,8.58660955600756
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.36153995868919,5.75675479148871,5.55914737508895
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.71769701286306,7.26793571873494,6.992816365799
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.86662958175225,7.73861086804747,7.80262022489986
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.46381726111591,6.221262894743,6.34254007792945
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.49345581746848,7.40310026141201,7.44827803944025
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.1350258495681,7.81757520429991,7.97630052693401
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.65311013323431,8.34834736400163,9.00072874861797
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.58761475708908,9.76252042108798,9.67506758908853
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.63458947502309,7.20212517987322,7.41835732744816
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.30026117348541,8.49515962575277,8.89771039961909
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.5245955496934,7.90893283853575,7.71676419411457
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.9910289422827,5.73555854654672,6.36329374441471
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.6804101694783,7.38901512508573,7.53471264728202
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.90549848762164,9.15033134629618,9.52791491695891
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.68246632500808,7.94959472145526,7.81603052323167
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.30180769774096,6.03788432283657,6.66984601028877
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.98429195876048,7.82317217740386,7.90373206808217
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71912239780466,5.04881025405052,6.38396632592759
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.80219022631453,6.72349974853215,6.76284498742334
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.96994763576798,8.029909134884,7.49992838532599
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.9187371956377,5.76172428944188,6.34023074253979
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.86714663829129,4.96090182247933,5.41402423038531
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.48870942459571,7.17135302823464,7.33003122641517
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.69899100008871,6.51631340140285,6.60765220074578
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.24771113942589,6.18669728571711,6.2172042125715
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.57057091475664,5.92860975234081,6.24959033354873
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.14291538066075,7.2572915125372,7.20010344659898
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.7002874959355,6.22732453295717,6.46380601444634
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.9340282367149,6.91264617819576,6.92333720745533
