"","Unnamed..0","tissue","endometriosis","severity","p208741_at","p208740_at","SAP18"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.84209691689939,8.04243260169822,7.9422647592988
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.04053308362386,8.70439190156086,8.37246249259236
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.31891622652651,7.62680984713461,7.47286303683056
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.14784376525919,8.32395055943225,8.23589716234572
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.55130891724222,7.56621959615291,7.55876425669756
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.02685890884507,8.02320456969229,8.02503173926868
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.23545636915264,7.86982059744656,7.5526384832996
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.43793934133647,8.77138642752459,8.10466288443053
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.05213750728518,8.95102463263307,8.50158106995912
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.4657379000674,8.25754776264814,7.86164283135777
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.1441702159198,8.91595452561945,8.03006237076962
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.98822776523876,8.15385002288544,8.0710388940621
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.67060544965414,7.24046325162626,6.9555343506402
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.76771653554281,8.49687338448551,8.13229496001416
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.11780490956025,8.61397601407567,8.36589046181796
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.72359364037678,8.1006137180319,7.91210367920434
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.90019601697993,8.44204601292497,8.17112101495245
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.10961180156565,7.35623236586181,7.23292208371373
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.94932036919887,7.77261120698277,7.36096578809082
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.38079185797953,5.9766916119633,6.17874173497142
