"","Unnamed..0","tissue","endometriosis","severity","p1552715_a_at","p231804_at","RXFP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.0765092595621,10.7830450932141,10.4297771763881
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.1505279386006,10.5619469588967,10.3562374487487
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.42214748601305,7.9133966079773,7.66777204699518
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.631131471552,12.0656861725548,11.8484088220534
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.03767885284086,9.4961691606109,9.26692400672588
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.4468955937502,11.2251162102535,10.8360059020019
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.96948104507602,10.8408374582859,10.405159251681
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.51852945135836,7.52919210842791,6.52386077989313
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.91650813036615,10.1087559523095,10.0126320413378
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2193792096738,10.9943105469379,10.6068448783058
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.29145937319902,6.6983020962641,5.99488073473156
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.84033385823649,7.56852144797066,7.20442765310358
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.8764732809458,11.3473404118269,11.1119068463864
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.3500167231363,7.29770158781262,6.82385915547446
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.97852553269258,9.90046125780633,9.43949339524945
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3995973654284,12.0197676164205,11.7096824909245
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.2201319468612,11.9131071668196,11.5666195568404
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.4336219927787,11.7214205020709,11.5775212474248
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.80813893951365,10.0298411797899,9.91899005965178
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.31143757538449,9.01008529956814,8.16076143747631
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.76895032764215,8.19851725884446,6.9837337932433
