"","Unnamed..0","tissue","endometriosis","severity","p227295_at","p236249_at","IKBIP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.6635653843321,5.26139240355994,6.46247889394602
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.9699119154445,5.33781435177774,6.15386313361112
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.88667822407091,6.97904365554919,6.93286093981005
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.08905107419195,5.46191767819258,5.27548437619227
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.73620402808463,5.98388850568885,6.86004626688674
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.78954193249774,5.36519111580901,5.57736652415337
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.1868577564908,4.7693042592099,4.47808100785035
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.75285761389749,6.14219161044815,6.44752461217282
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71596669890005,6.94092725701193,7.32844697795599
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.01258796404092,6.37391634824285,6.69325215614188
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.52396191547571,6.64651575575104,7.08523883561338
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.37404846909691,6.27121995018034,6.82263420963863
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.40816723763239,6.08346820327865,6.24581772045552
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.39646646361842,7.33253228979562,7.86449937670702
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.93647184482699,6.20193305616997,7.06920245049848
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.73485294673039,5.78622364071605,6.26053829372322
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.78504298567583,5.61504937117058,6.2000461784232
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54678956122677,6.17504570362177,6.36091763242427
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.27535170722659,7.57366756769994,7.92450963746326
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.1740760925946,4.262180570879,4.2181283317368
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.7211973604519,5.14396597780599,5.43258166912895
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.88949580472964,5.76076466192151,5.82513023332558
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.51438396902113,6.6624898733385,5.58843692117981
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.94379356747715,5.08591321152203,4.51485338949959
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.3655000996279,5.51727495553281,4.94138752758036
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.903952511488,5.17104744319417,4.53749997734108
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.50089007485429,5.97572897371696,4.73830952428562
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.26602712824464,5.5228612918028,5.89444421002372
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.97896959442737,5.57720379860033,5.77808669651385
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.1740760925946,5.11931871605407,4.64669740432434
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.80391057210524,4.7952497617615,3.79958016693337
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.0155153307058,5.80474881141438,5.91013207106009
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.17735280786034,4.93794861332288,4.05765071059161
