"","Unnamed..0","tissue","endometriosis","severity","p235432_at","p235410_at","NPHP3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.15903591160016,8.27503769357778,8.71703680258897
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.49219262055108,8.29833262753279,8.39526262404194
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.41180934650276,6.36471838497754,6.88826386574015
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.36430790522292,7.99732910305441,8.18081850413867
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.1460854531694,8.8529647420944,8.9995250976319
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.58726647395972,7.77056573387242,8.17891610391607
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.8512521634759,5.81069385307006,6.33097300827298
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.78763791171201,7.86447139674518,7.82605465422859
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.87772545653849,8.46422954047038,9.17097749850443
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.76809257424197,7.66524765903149,7.71667011663673
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.48535412243891,7.2887252133582,7.88703966789855
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.76329409214543,7.92881234497502,8.34605321856023
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.70825308053145,7.338883171464,7.52356812599773
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.63648345684056,7.70981386600559,8.17314866142308
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.74649188258675,8.86683433862568,9.30666311060621
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.74527285915094,7.71658267524139,8.23092776719617
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.02004843225056,8.33545346679375,8.67775094952215
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71614167000419,6.96074119619509,7.83844143309964
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.03679475004745,7.43345362853668,8.23512418929207
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.26492650946746,5.98974500142442,6.12733575544594
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.76693801339225,6.40566261253028,6.58630031296127
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.4970258768644,4.1400364993983,4.81853118813135
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.81843031198951,5.97891850383991,4.89867440791471
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.34504589491701,4.45152341630078,4.8982846556089
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.84325244930301,5.01530903490972,4.92928074210636
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.60553093011512,6.49101157155735,5.54827125083624
