"","Unnamed..0","tissue","endometriosis","severity","p218105_s_at","p223742_at","p223743_s_at","MRPL4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.83856045499543,4.14761559898934,6.45983695128849,5.81533766842442
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.10894760931675,4.196137606961,6.94628450673652,6.08378990767142
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.33864800901395,4.196137606961,4.8535160713893,4.79610056245475
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.32133314528699,4.36870062239116,6.82965746606935,6.17323041124917
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.66376371960362,3.78687671466513,7.63399790549914,6.02821277992263
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.57665553416023,3.77195543590082,6.42148947531672,5.92336681512592
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.31479907093815,4.34430487182711,5.99290480835574,5.88400291704033
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.44678539868154,3.60458053486738,6.19477053193,5.74871215515964
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.13649026476229,4.26788139577934,6.27904145133141,5.89447103729101
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.37300178149301,3.56695485747307,7.51175399850203,6.15057021248937
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.95478371972024,4.196137606961,6.2508352338874,5.80058552018955
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.92750387880846,3.78100229499863,6.75498907757398,5.82116508379369
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.41426938283094,3.56695485747307,4.85919038822818,5.28013820951073
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.89090247921642,4.45777057820557,7.31324126732328,6.55397144158176
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.37194075034564,4.196137606961,7.10455760899339,6.22421198876668
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.23560180182715,4.13673001445073,7.10700174952192,6.1597778552666
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46389009734342,4.32521102405592,7.01806124399844,6.26905412179926
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.11748626121427,4.196137606961,7.44780891400812,6.25381092739446
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.28664178976157,4.10932384400051,7.27671759010943,6.2242277412905
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.99173661967833,7.78568213856033,10.0079073736443,9.26177537729432
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.91534480621066,7.70776593428369,9.84435870458515,9.15582314835983
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.0535179792048,7.64032808055361,10.4655570683763,9.38646770937824
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.93828851567768,7.62107655917957,9.0406234926555,8.53332952250425
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.1483358376178,8.41142270931223,11.3006609636993,10.2868065035431
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.1522709989158,7.67456188964452,10.5147645530515,9.44719914720394
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.7796901984977,8.81141774472839,11.0131495421221,10.2014191617827
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.0609335377861,8.97142194549907,11.0527613367306,10.3617056066719
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.1079407200924,7.35036232171466,10.2362246673248,9.23150923637729
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.13627407971746,7.32021725770973,9.42131163053272,8.6259343226533
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.0104690127252,9.22943770981614,11.039075881462,10.4263275346678
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.9976738911016,8.71571452042592,10.8361762357986,10.1831882157754
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.2238912404219,7.69872465547032,10.2885554241751,9.40372377335577
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.4047854038401,9.14674435698947,11.5065594808957,10.6860297472418
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.1502336601643,8.26229979171112,11.5689470301205,10.3271601606653
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.96836946483917,6.12011740383418,7.82919383780193,7.30589356882509
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.1740505101986,7.46836557554537,10.2555236022638,9.29931322933592
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.5461912894637,8.53956681440341,10.4544225692874,9.8467268910515
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.88452245639083,6.87421441629202,8.77211841730013,8.17695176332766
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.454758607197,8.07284035117206,10.0902148081624,9.53927125551049
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.4775437433992,8.29996784182983,10.2485247792769,9.67534545483531
