"","Unnamed..0","tissue","endometriosis","severity","p204298_s_at","p215446_s_at","LOX"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.77241272136087,6.95137045918067,5.86189159027077
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.19520351727243,8.00154188972146,7.09837270349695
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.42540162538115,7.69703272582019,6.56121717560067
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.89593113286366,6.76656339135743,5.83124726211054
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54070088445107,8.19238116865263,7.36654102655185
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.99123640465874,6.24643475997844,5.11883558231859
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.91894881850846,6.53561140789778,5.72728011320312
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.67953133713783,6.15651395697727,5.41802264705755
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.19260604008814,7.96062688278673,6.57661646143744
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.94478194631055,7.05682564329678,6.00080379480366
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.11133332112154,7.76258521572468,6.93695926842311
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.89366465761859,6.20223087218408,5.54794776490133
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.77762253227257,6.95137045918067,5.86449649572662
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.29783853397914,8.64256622155443,6.97020237776679
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.91894881850846,7.34468154017686,6.13181517934266
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.94478194631055,7.8941301836303,6.41945606497042
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.91894881850846,7.73938324193418,6.32916603022132
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.91894881850846,6.36546353796094,5.6422061782347
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.87649340408483,7.57321947715677,6.2248564406208
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.72828008059132,7.50450190293331,7.11639099176231
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.5896426896928,5.4558930755267,5.02276788260975
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.94478194631055,6.2775400478465,5.61116099707852
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.23697575279636,9.49119050499256,8.86408312889446
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.0556368189621,6.64442052107041,6.35002867001625
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.98690434505386,5.23235229677081,5.10962832091234
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.9344924146857,4.41949792650234,4.17699517059402
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.53578736287475,4.91043066461469,5.22310901374472
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.13220246077808,7.64217822785863,6.88719034431836
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.72674829972954,4.75977190742818,4.74326010357886
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.48775087423519,8.15671897130692,7.82223492277106
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.74003865873955,3.27735635924049,3.50869750899002
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.64021456661675,7.04654982362309,6.34338219511992
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.19632697675228,5.63585103487291,5.91608900581259
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.56851563692474,6.24903794103247,6.4087767889786
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.4765896032898,6.40243485409215,5.43951222869098
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.15551586167751,5.64437730082118,5.39994658124935
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.94478194631055,6.04636025716835,5.49557110173945
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.50792313358192,7.84774571273874,6.67783442316033
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.91169104680973,6.61921712315361,6.26545408498167
