"","Unnamed..0","tissue","endometriosis","severity","p218239_s_at","p218238_at","GTPBP4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.08374377665881,8.53247035021961,8.80810706343921
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.69612972914575,8.98252327632778,8.83932650273677
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.40052890604873,8.24794287666684,8.32423589135779
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.33565377391939,8.65027529701499,8.49296453546719
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.23156699584904,8.64299304084252,8.93728001834578
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.64987357966532,8.39820825819578,8.52404091893055
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.01531113942772,7.65054210095956,7.83292662019364
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.38210396938869,8.61142594131627,8.49676495535248
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.52258258251411,8.38900392237538,8.45579325244475
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.69029477644953,8.0706910538517,8.38049291515062
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.1736215826406,8.16838912237236,8.67100535250648
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.03579939385974,8.49208342233318,8.76394140809646
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.00107430725006,7.72679223481396,7.86393327103201
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.92683064602631,8.6827476093581,8.80478912769221
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.20722436451257,8.62620967599815,8.91671702025536
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.46377521081706,8.13419491568162,8.29898506324934
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.79204404514998,8.18187015789036,8.48695710152017
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.30416030057085,8.67219071934018,8.98817550995551
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.50141389074483,8.66632006502451,9.08386697788467
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.16565019868076,5.85226487205775,6.50895753536926
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.84547712869609,7.07711808112805,7.46129760491207
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.64835558978105,5.8702862827467,6.75932093626388
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.19658134767362,5.63702326504711,6.91680230636037
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.4771826411786,6.29221610746899,6.88469937432379
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.82685484585762,4.96938931096202,5.89812207840982
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.24843055921696,3.73581627876638,4.99212341899167
