"","Unnamed..0","tissue","endometriosis","severity","p1554080_at","p1553510_s_at","p213098_at","CNOT9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.97796553978556,3.98581407728367,3.26376353383631,3.74251438363518
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.44166447717485,4.78643493997144,3.52178945473837,3.58329629062822
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.60579666381686,3.73628953984499,4.0819388774931,3.47467502705165
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45280023573631,3.25633526190862,3.67573942410395,3.12829164058296
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.71324644630036,3.83930352981787,4.08672221370491,3.54642406327438
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.44874470735489,3.72026645549222,4.92493931930734,3.69798349405148
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.58922999798018,3.25633526190862,4.42777000587837,3.42444508858906
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.04333016470459,3.75646826279624,3.94978911493403,3.58319584747829
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.95054582018081,4.05893678127485,3.81183331879812,3.60710530675126
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.65624888103,4.67275668228436,4.52548986099419,3.95149847476952
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.2290636240167,4.35672536141338,4.92493931930734,4.17024276824581
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.82694437212857,3.98581407728367,3.36901988884313,3.39392611275179
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.44874470735489,3.38743686881291,3.26376353383631,3.03331503666804
