"","Unnamed..0","tissue","endometriosis","severity","p212375_at","p230629_s_at","EP400"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.95589849875798,5.73012958110228,6.84301403993013
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.31052933853103,5.73521452726663,6.52287193289883
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.08379394010492,5.68426773179945,6.88403083595218
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.99956172783112,5.68426773179945,6.84191472981528
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.54166557036039,5.68426773179945,6.61296665107992
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.61889329988224,5.68426773179945,6.65158051584084
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.90631608348902,5.68426773179945,6.29529190764423
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.28430608273693,5.73012958110228,7.0072178319196
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.77177350672561,5.89642736395858,6.8341004353421
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.26605069980331,5.68426773179945,6.47515921580138
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.06750458577048,5.73012958110228,6.89881708343638
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.83448494456757,5.73012958110228,6.78230726283492
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.08205103034791,5.73012958110228,6.40609030572509
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.22775582137587,5.67680149242962,6.95227865690275
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.47967254824865,5.68426773179945,7.08197014002405
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.91593498756055,5.50348658462176,6.70971078609116
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.92901001291009,5.26599375906434,6.59750188598722
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.3337835501244,5.66307880213475,6.49843117612957
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.18505751714738,5.82232556344671,6.50369154029704
