"","Unnamed..0","tissue","endometriosis","severity","p226634_at","p226631_at","EEF1AKMT2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.08122367737762,7.31638245650774,5.19880306694268
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.91924324549109,6.89134959286839,4.90529641917974
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.83014851872001,5.73582314465681,4.28298583168841
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.08971801081797,6.6886274312425,4.88917272103023
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.02981221814201,8.32105742578205,5.67543482196203
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.57533728666199,6.42816637997477,4.50175183331838
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.57533728666199,5.99835691713565,4.28684710189882
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.07830147653413,6.89114416413082,4.98472282033248
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.08971801081797,7.51962287458861,5.30467044270329
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.57533728666199,6.82498507689734,4.70016118177966
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.7879750883958,7.4453454549048,5.1166602716503
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.07249718231928,7.68708128599259,5.37978923415593
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.78417791057294,6.38598180239002,4.58507985648148
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.08971801081797,7.12735853918525,5.10853827500161
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.79012239922191,7.72178913570397,5.75595576746294
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.08122367737762,6.88994634102762,4.98558500920262
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.03730008702548,6.73058991201325,4.88394499951936
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.7879750883958,6.89114416413082,4.83955962626331
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.7879750883958,6.89114416413082,4.83955962626331
