"","Unnamed..0","tissue","endometriosis","severity","p203380_x_at","p212266_s_at","SRSF5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.2136775388342,12.8664558574004,12.5400666981173
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.1446501294787,12.5401834275182,11.8424167784984
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.4782895677529,12.3193313801114,11.8988104739322
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.0072327801624,12.6056189413672,12.3064258607648
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.5044725515116,12.3591279178262,11.9318002346689
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.5069279066775,12.1136655234273,11.8102967150524
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.0201382236061,11.7457842604735,11.3829612420398
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.0183182618346,12.0399565506397,11.5291374062371
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.586948047298,12.488078274703,12.0375131610005
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.8137761005898,12.252217290711,12.0329966956504
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.4535640178975,12.044567000457,11.7490655091772
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.1287503539616,12.113033408395,11.6208918811783
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3247746026501,11.9849267207794,11.6548506617148
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.9953968263167,11.7911784147922,11.3932876205544
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.4258224191998,12.2370308145355,11.8314266168676
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.1669407651238,11.7703951147024,11.4686679399131
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.0871521901608,11.7545419937515,11.4208470919562
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.1905564160131,11.6989907887118,11.4447736023624
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.1544504737323,11.3105010990621,10.7324757863972
