"","Unnamed..0","tissue","endometriosis","severity","p223112_s_at","p228301_x_at","NDUFB10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.733706889978,8.42708509633415,9.58039599315607
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.9757233356945,8.89653211464004,9.93612772516727
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.3109747421649,8.42708509633415,8.86902991924952
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.6063171542405,8.47878745062499,9.54255230243275
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.628918461252,8.39777002817401,9.51334424471301
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.551178561045,8.10206118144336,9.32661987124418
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.83973480520671,9.05438577673088,9.4470602909688
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.5895457251478,8.86891859444649,9.72923215979715
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.7999705636643,8.53832700656472,9.66914878511451
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.7861272717163,8.46763272927202,9.62688000049416
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.7852083048885,8.75246593344175,9.76883711916512
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.4791188919236,8.18419047031678,9.33165468112019
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.25550952655851,8.42708509633415,8.84129731144633
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.7087500338279,8.80282175724177,9.75578589553484
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.7049712606637,8.6232643211685,9.6641177909161
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.3213263867931,7.76542837688332,9.04337738183821
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.3704053323724,8.42708509633415,9.39874521435327
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.4405403670601,8.42708509633415,9.43381273169712
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.99417944671218,8.68922614788026,9.34170279729622
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.262505689346,10.1860610565999,11.224283372973
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.592113636508,10.5239737511584,11.5580436938332
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.3836158658666,10.2950767974588,11.3393463316627
