"","Unnamed..0","tissue","endometriosis","severity","p1553695_a_at","p219680_at","NLRX1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.17506297404264,6.78138230208372,4.97822263806318
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.45897875838632,5.03361838976366,4.74629857407499
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.9225363040913,6.50606497803088,5.21430064106109
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.10238290967781,6.71282374585143,5.40760332776462
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.71302865033248,6.9793090840355,5.84616886718399
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.16706478525287,6.4965068468077,5.33178581603029
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.7195615454785,6.54040023885389,5.12998089216619
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.66734713712198,6.31602440361683,5.49168577036941
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.37898518012983,6.65543413006576,5.51720965509779
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.24273091223402,6.99648585195771,5.11960838209586
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.98893754374825,6.74747662359493,5.86820708367159
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.25591025358624,6.35659740349797,4.80625382854211
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.9178283425904,4.95976450711114,4.43879642485077
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.80688247133471,7.45383421730492,5.63035834431981
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.49992416127469,7.0036894503267,5.75180680580069
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.49704452249788,7.19581301877293,5.84642877063541
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.44403933420357,6.69481730213844,5.069428318171
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.26706431837142,6.11418930987906,4.69062681412524
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.06522844573904,6.42681946145069,4.74602395359487
