"","Unnamed..0","tissue","endometriosis","severity","p224703_at","p224697_at","DCAF5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.23176520176456,4.5418793483259,6.88682227504523
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.48792920725139,3.87586838016911,6.18189879371025
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.66222212472213,4.20692820482718,6.43457516477465
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.07182243892289,4.42310376727614,6.74746310309951
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.95838292412324,5.70368743457906,7.33103517935115
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.08612657251911,5.07488957893573,7.08050807572742
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.56805892102198,4.42310376727614,6.49558134414906
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.07735587681799,4.42310376727614,6.75022982204706
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.5164852102706,5.34897362315242,7.43272941671151
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.1371341302805,4.42310376727614,6.78011894877832
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.69874785797487,4.18736628866002,6.44305707331745
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.29248111768806,4.42310376727614,6.8577924424821
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.14176752128064,4.42310376727614,6.78243564427839
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.59646730615978,4.7604202918595,7.17844379900964
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.54232541087653,4.02838030828594,6.78535285958123
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.27761634438466,4.42310376727614,6.8503600558304
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.42605143751189,4.42310376727614,6.92457760239401
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.43732238195064,4.42310376727614,6.43021307461339
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.37542803589946,3.96844830518648,6.17193817054297
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.84098866456926,4.26854519453276,6.05476692955101
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.99332133835799,4.42310376727614,6.20821255281706
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.03483527398218,3.19712900809351,5.61598214103785
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.41863516229612,3.60116314135465,6.00989915182539
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.86826075288814,4.21938333791324,5.54382204540069
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.45955716081163,3.54568218401831,5.50261967241497
