"","Unnamed..0","tissue","endometriosis","severity","p224339_s_at","p231773_at","ANGPTL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.81081046591558,5.69030801825822,5.2505592420869
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.66836719708298,2.55386513023801,2.61111616366049
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.64656808026498,2.53622376046012,3.09139592036255
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.76679242314145,5.48555091804834,5.62617167059489
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.86151039364364,2.60357559757054,2.73254299560709
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.89592221933086,5.89913487916082,5.89752854924584
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.26927358343968,6.21630469827618,5.74278914085793
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.26650609917013,2.43509033954741,2.35079821935877
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.26650609917013,2.46926021403985,2.36788315660499
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.77426416164731,8.17049152092516,7.97237784128624
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.27564499857731,2.43509033954741,2.35536766906236
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.43027725796394,2.43509033954741,2.43268379875567
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.42883502030087,6.28494340066995,4.85688921048541
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.34055544775158,2.24311435247516,2.29183490011337
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.28350077929353,2.8804666644978,3.08198372189567
