"","Unnamed..0","tissue","endometriosis","severity","p36030_at","p209721_s_at","IFFO1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.33827651117568,7.00818761952329,7.17323206534948
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.45486203825066,6.31345458914016,6.38415831369541
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.65023197497395,6.26525827023899,6.45774512260647
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.61692116925718,6.25993429472577,6.43842773199148
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.74349114158073,6.13770402835127,6.440597584966
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.6380838555563,6.31345458914016,6.47576922234823
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.9015964800438,5.85897982713481,5.88028815358931
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.78251136129917,6.1544382421349,6.46847480171703
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.98175144701583,6.48124944936803,6.73150044819193
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.30020232053381,5.90050052224641,6.10035142139011
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.35998395946933,5.13412052330232,5.74705224138583
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.7634520369504,5.26653198563387,6.01499201129213
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54451831339907,5.98911992988992,6.2668191216445
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.63213781601466,6.18763183806667,6.40988482704067
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.88404164606793,6.41273329978119,6.64838747292456
