"","Unnamed..0","tissue","endometriosis","severity","p205068_s_at","p226576_at","ARHGAP26"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.9882895891143,8.83664411613849,8.91246685262639
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.50193206276319,7.87317976808548,7.68755591542434
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.85451701061005,3.42243294595768,4.13847497828387
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.66550792731659,5.31359946875549,5.48955369803604
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.38469063140739,8.08967426973168,7.73718245056953
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.33531513444206,4.41306156063463,4.87418834753834
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.21575906841655,3.82224972468756,4.51900439655205
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.1304919649539,4.2981876482897,5.2143398066218
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.14517708660508,8.68492235454566,8.41504972057537
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.45886237533629,4.87120950699828,5.16503594116729
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.13159743545733,7.47573956100264,7.30366849822999
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.39897747451933,5.34961939184658,5.37429843318295
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.23953900516826,3.37679214164263,5.30816557340544
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.42654241963858,5.96056818144957,6.19355530054407
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.94553857823465,9.22622666147603,9.08588261985534
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.90024796925858,4.57748270881508,5.23886533903683
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.01401096843753,4.46274428997767,4.7383776292076
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.22859123263341,5.06437302059671,5.64648212661506
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.33531513444206,4.27979198190498,4.80755355817352
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.18328221883171,3.7580118849094,3.97064705187056
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.86025376125476,7.83052448664537,7.84538912395007
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.31386272139376,2.94870526352668,3.63128399246022
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.88029456510574,3.82224972468756,4.85127214489665
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.60479977548421,2.23871431220327,3.42175704384374
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.85451701061005,3.47793618657624,4.16622659859314
