"","Unnamed..0","tissue","endometriosis","severity","p210656_at","p209572_s_at","EED"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.93241181066549,9.1747677892866,7.55358979997605
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.16571875783475,9.33425442718867,6.24998659251171
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.34991319038483,9.01365698850647,6.18178508944565
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.39273785227185,8.38376986653065,5.38825385940125
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.79500986847835,9.27541655579814,6.03521321213825
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.39273785227185,9.03458122353314,5.71365953790249
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.39273785227185,8.4888259603351,5.44078190630348
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.09898577541398,10.1273735116267,6.61317964352034
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.16571875783475,9.97551828108119,6.57061851945797
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.16571875783475,8.84870192940514,6.00721034361994
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.39273785227185,9.61993258705863,6.00633521966524
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.97400736381248,9.33614826891357,6.15507781636303
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.16571875783475,7.72261333193725,5.444166044886
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.33047865965298,9.91487246664783,6.62267556315041
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.18789696481903,9.72389084322499,6.45589390402201
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.02271384166688,8.81144185194534,5.91707784680611
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.97400736381248,8.63479290789741,5.80440013585494
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.97400736381248,8.92116991706009,5.94758864043628
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.66163184487945,8.99106809273742,5.82634996880843
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.26270025483672,8.59758214860462,5.43014120172067
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.38671628427047,9.12422461644889,5.75547045035968
