"","Unnamed..0","tissue","endometriosis","severity","p40687_at","p204904_at","GJA4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.40828916886922,5.73969028571617,5.07398972729269
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.74453518631694,6.70165395311327,5.2230945697151
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.43059244903899,8.69824549214598,7.56441897059249
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.36192468388308,6.03267203016817,4.69729835702563
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.16134045123695,6.41298319536481,5.28716182330088
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.71551693543395,6.12987058174119,4.92269375858757
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.56723566946039,6.90339176509367,5.23531371727703
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.63786919620795,8.28393319469766,7.4609011954528
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.05167818439487,5.92232525704038,4.98700172071763
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.52715009815407,6.43007117608998,4.97861063712203
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.49173649133244,8.27178061961054,7.38175855547149
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.08935135460563,7.11468544515994,6.60201839988278
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.61950972951187,5.30938794881238,3.96444883916212
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.82970240320075,8.83830102130869,7.83400171225472
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.22530718976612,5.82666314321268,5.0259851664894
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.79672737751107,4.37141728101453,3.5840723292628
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.03623302413047,6.37880514926702,4.70751908669874
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.61950972951187,5.68578404096437,4.15264688523812
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.2242715219116,5.71036821233739,4.46731986712449
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.93826967801369,8.56641846656087,7.75234407228728
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.0493254308757,8.6225292050814,7.83592731797855
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.86584030893511,8.42212598355417,7.64398314624464
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.85089278667955,8.24528784684358,7.54809031676156
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.94077793937682,8.56608258888298,7.7534302641299
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.80208498947832,8.28393319469766,7.54300909208799
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.22033677689086,8.43023898446276,7.82528788067681
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.7580278101707,11.675463320497,11.2167455653339
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.79574489455336,11.3752701551535,10.5855075248534
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.54858991246997,7.07585196757762,6.31222094002379
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.6704012599621,11.7580045394231,11.2142028996926
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.1160683305036,11.2067738495332,10.6614210900184
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.07805049009192,10.376697732391,9.72737411124146
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.3586106870864,11.6895486005665,11.0240796438265
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.96574298179004,10.4591680113513,9.71245549657067
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.99876213999507,7.60334133352526,6.80105173676017
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.54077507082428,9.18543835137116,8.36310671109772
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.62708306801746,10.9809446683438,10.3040138681806
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.15206250140123,7.6309788107007,6.89152065605096
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.92438195948041,11.1797930246088,10.5520874920446
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.62888689258403,9.33853052355594,8.48370870806998
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.1753747727553,11.3408706858966,10.758122729326
