"","Unnamed..0","tissue","endometriosis","severity","p210347_s_at","p219497_s_at","p222891_s_at","BCL11A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.61042378789488,2.23602791534862,2.76959713090881,2.87201627805077
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.24725609780461,2.85622640101543,3.05100579724334
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.94889028367331,5.19601860681976,4.06481459446768
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.0935398794514,2.23602791534862,3.33195715932028,3.2205083180401
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.05074303223795,2.27561824886844,2.78271122210701,3.03635750107113
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.20377403618244,2.23602791534862,3.29422343016185,3.24467512723097
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.23602791534862,3.01517193057557,3.10024491294472
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.78792313968582,5.45917013852021,5.7612537930855,5.33611569043051
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.63576445610085,2.24704149297791,2.78870328472415,2.8905030779343
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.54133602287044,2.23602791534862,2.78271122210701,2.85335838677536
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.81506342220583,4.19707267004237,4.90388520717983,4.63867376647601
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.05074303223795,4.97911070327872,5.11499366533214,4.71494913361627
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.48061831239746,2.23602791534862,2.76959713090881,2.8287477862183
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.06243694582075,3.44890524291478,5.32385768973826,4.27839995949126
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.25435534775508,3.35851426687481,3.22080150251329
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.48061831239746,2.41481014747774,3.57166077769595,3.15569641252372
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.23602791534862,2.76959713090881,3.01838664638914
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.23780423596757,3.53124531274782,3.27286148054179
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.04953489290998,2.23602791534862,3.29422343016185,3.19326207947348
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.96252204654339,2.34177983807144,3.78516556096884,3.69648914852789
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.05074303223795,2.23602791534862,3.3320758615472,3.20628226971126
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.91678326139987,2.23602791534862,2.77739402760618,2.97673506811822
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.99415563121933,2.37665295422628,3.29422343016185,3.55501067186915
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.33343064675871,2.23602791534862,2.78271122210701,3.11738992807145
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.13466077819722,2.23602791534862,3.37200057321037,3.24756308891874
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.48061831239746,2.23602791534862,2.76959713090881,2.8287477862183
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.99347810740573,2.66966253944765,3.47404778369675,4.37906281018338
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.55260646155193,4.46594190326822,5.52281468304244,5.18045434928753
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.05074303223795,2.23602791534862,2.78585090563364,3.02420728440674
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.49473466310342,4.79176221854886,3.7358519417117,5.34078294112133
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.57277156928162,4.19766822352276,4.80066297879966,4.85703425720135
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.38298311181943,4.54642035389449,5.56177967073209,5.16372771214867
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.97384609614048,2.25435534775508,3.00821853944245,4.412139994446
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.05074303223795,2.23780423596757,3.33195715932028,3.20683480917527
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.96910797466081,2.23602791534862,3.34449241416573,2.84987610139172
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.64579572892931,2.48240708803279,4.36473978311163,4.16431420002458
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.26926706355676,4.64882407233432,5.33557822416905,5.75122312002004
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.48061831239746,2.23602791534862,3.08888700089203,2.93517774287937
