"","Unnamed..0","tissue","endometriosis","severity","p200672_x_at","p226342_at","SPTBN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.68402174184594,6.5202152563512,6.60211849909857
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.18891785016734,6.57241717631448,7.38066751324091
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.46527089709544,6.04603391745874,6.75565240727709
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.18929793944046,6.79273242879341,7.49101518411693
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.12747219423232,6.13004739724677,7.12875979573954
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.17244448008368,7.43360039880649,7.80302243944509
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.52414035265575,6.44543772743993,6.48478904004784
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.11591777240556,6.75900930804993,6.93746354022774
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.93856368620927,6.91064300955531,7.42460334788229
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.23825494990071,6.723639785619,7.48094736775986
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.2797952064027,6.04603391745874,7.16291456193072
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.56021274708557,5.98795315809586,6.77408295259072
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.94045591876344,7.03717772177648,6.98881682026996
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.70278050647971,6.7931699816162,7.24797524404796
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.71701272198091,6.459055897587,6.58803430978396
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.4427126460681,7.34591375351486,7.39431319979148
