"","Unnamed..0","tissue","endometriosis","severity","p201109_s_at","p201110_s_at","THBS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.69040481364981,8.14127179876515,6.91583830620748
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.14558973940259,5.34590197633617,4.74574585786938
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.65459940946049,9.91360858835167,9.28410399890608
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.7492171956771,7.05521371506199,5.40221545536954
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.2058608084787,7.77449790256362,6.99017935552116
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.15659401051414,8.6108928566051,7.38374343355962
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.77464271632218,7.18404948439782,5.97934610036
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.50340129497565,7.54948919954598,6.52644524726082
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.96632306071247,7.59753570629457,6.78192938350352
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.07207007591259,9.74805042401828,8.91006024996543
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.96838083907494,4.40699383636772,4.18768733772133
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.49092169261248,9.47349207175606,7.48220688218427
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.00274607157715,9.14265052635834,8.07269829896774
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.75415401167308,9.52964927307362,8.14190164237335
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.96838083907494,7.26635486040957,5.61736784974226
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.58876023443765,7.23145514720702,5.91010769082234
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.47568950149681,6.97810064188702,5.72689507169192
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.60385773334692,9.69455379610766,8.64920576472729
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.57731658844861,9.54280439569879,8.0600604920737
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.50833414375313,9.68596867117771,8.09715140746542
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.40759362515761,7.34689759996896,5.87724561256329
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.2067186364527,9.77707447368642,7.99189655506956
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.80827759832474,11.7637632908525,10.2860204445886
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.45910358397661,8.62635142138329,7.04272750267995
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.75241099219267,9.84568828311602,8.29904963765435
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.58876023443765,9.37509265668764,6.98192644556265
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.58502135188481,9.28427249481865,6.93464692335173
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.41256761910986,11.3835475499149,10.3980575845124
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.58876023443765,9.31785058539689,6.95330540991727
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.95656544070239,10.9460479984478,8.95130671957509
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.63845150420824,9.92549813498134,7.78197481959479
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.59404173623924,11.8050353010352,10.1995385186372
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.53670672199536,7.39074285087283,5.9637247864341
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.42768259813062,7.86660741464763,6.14714500638912
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.95216026508566,9.08718669913278,7.51967348210922
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.02889084148981,10.2147756964539,8.62183326897186
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.25782237958042,10.6328647217173,8.44534355064886
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.65604167804865,9.42368578343514,8.0398637307419
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.00163245269866,9.56129412005961,7.28146328637914
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.40759362515761,8.30657434417692,6.35708398466726
