"","Unnamed..0","tissue","endometriosis","severity","p1558173_a_at","p221832_s_at","p225831_at","LUZP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.92508281844294,5.13520026523,6.01208668605225,5.3574565899084
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.97042028889989,5.55025867464452,6.23625523239821,5.58564473198087
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.35681566840324,6.34211768666844,7.40280280019933,6.36724538509034
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.00946933719781,5.72015678491183,6.22214689122343,5.65059100444436
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816754441148,5.7868689040775,6.1187106886725,5.24077801129933
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.83896756237014,6.28671228070051,6.65623150045644,6.26063711450903
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.83896756237014,6.13837126104431,5.85954105933295,5.94562662758247
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.68840658092631,6.71417779896383,7.35102362188673,6.58453600059229
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.9988347492716,6.04436268654552,6.73194916584673,5.92504886722128
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.37420487250448,6.01527788694794,6.34147296150164,5.91031857365135
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.75015932484664,5.21234494421076,7.12191453904398,5.69480626936713
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.25498563682031,5.88126532750827,6.68230256126645,5.60618450853168
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25069837663598,5.75769049308976,6.0728541430562,6.02708100426065
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.45786337347776,6.11070623114226,7.48471498851558,6.35109486437853
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.80275069014958,5.89802286713882,6.76349712432459,5.82142356053766
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.38250723491549,5.45528709970636,6.94444508605831,5.59407980689339
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.42512335130059,5.15966385742733,6.7027428396749,5.42917668280094
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.35185753429534,5.47249492612598,5.93478159004717,5.58637801682283
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.60883147240771,5.47249492612598,5.94395452586495,5.67509364146621
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.71764542299133,6.43167401607399,6.75100233433319,6.96677392446617
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.88030307003945,6.2409316039735,6.32876795969556,6.48333421123617
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.39030107912893,5.81277479868507,6.06947110933669,6.42418232905023
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.75151621075397,7.00244012103686,8.21717466378571,7.99037699852551
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.8625206900622,5.67800477806785,6.61903563016743,5.38652036609916
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.78700745335813,5.47249492612598,6.40562785618209,5.88837674522207
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.27028086873083,6.26004767622019,6.78472585268608,5.77168479921237
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.65536013941246,6.62437343105285,8.01060048423635,7.09677801823389
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.51148071313801,6.44224177637049,7.09032550022219,6.68134932991023
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.58465215778809,6.79696960643481,6.60421271130022,6.32861149184104
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.86706619279335,5.5572525161273,7.60128190908818,6.34186687266961
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.6913037171741,6.0094089019845,8.02259305786509,6.24110189234123
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.0047484217864,6.5002254880269,7.26969380410582,6.59155590463971
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.66867855941914,5.22811566319498,6.58259695915765,5.82646372725726
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.50833312488477,5.48875221635718,6.14028261313549,5.71245598479248
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.18858320015935,5.95711305919371,7.08158965881483,6.40909530605596
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.18893734105322,6.1102847372957,6.54908588044304,6.61610265293065
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.42210067568415,6.45739593790567,7.44186788963063,7.10712150107348
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.67315356460036,6.44540298155943,6.79982140790268,6.97279265135416
