"","Unnamed..0","tissue","endometriosis","severity","p203476_at","p239903_at","TPBG"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2938397607833,2.87939622025198,6.58661799051764
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3573294996178,3.20335122363554,7.28034036162667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.8554714388295,4.44892430725671,8.15219787304311
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.4388826161086,4.02133025594935,7.73010643602897
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.8266384915671,4.76517037528182,8.29590443342446
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.0734602162646,4.16780073912788,7.62063047769624
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.84458696196651,2.5624917060901,6.2035393340283
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.7680886439386,4.22007531232194,7.99408197813027
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.4538447182733,5.13587105813994,8.79485788820662
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.246384667079,3.26613081260803,6.75625773984352
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.2967412857483,5.32162185726902,8.80918157150866
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.1922582578451,4.70730789729414,8.44978307756962
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.61178751321063,2.45194329241813,6.03186540281438
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.7627264479996,7.09195500363703,9.92734072581831
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.788335182473,4.97341862471228,8.38087690359264
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.5933700973808,4.61388900590832,7.60362955164456
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.207706665916,5.4064718239235,8.30708924491975
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.7928626375722,4.74463540710506,7.76874902233863
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.1071042816772,4.76031197919568,7.43370813043644
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.1955226054685,3.16518941886353,7.18035601216602
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.3036548930424,4.22153861401988,7.76259675353114
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.3544415366704,4.19810619404875,7.27627386535957
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.9268277296554,4.97033047202825,7.94857910084183
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.0548018140905,2.45194329241813,6.25337255325431
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.069338981613,4.02133025594935,7.54533461878118
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.4455090382472,3.52070885190663,6.98310894507692
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.6342255435666,3.52566862535952,7.57994708446306
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.3670798860919,4.58368795818701,8.47538392213946
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.2160754076384,2.65859776566039,6.9373365866494
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.3902033172989,4.8427132980102,8.61645830765455
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.640654060866,4.16780073912788,7.40422739999694
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.697818894227,5.49091467424646,9.09436678423673
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.6527511959549,4.56280584142601,8.10777851869046
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.9931424197934,4.02133025594935,7.50723633787138
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.3736753294174,4.09080658418507,7.23224095680123
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.102740520872,2.75607094664422,6.42940573375811
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.8959486110348,4.62454245182369,8.26024553142924
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.4246486011871,2.6755128815909,6.550080741389
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.6043903666177,5.28828085985593,8.44633561323682
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.9060506270411,4.51667957945371,7.71136510324741
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.2475355127718,7.15457430358833,9.70105490818007
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.9572196699908,4.02133025594935,7.98927496297008
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.7118549731137,4.56280584142601,8.13733040726986
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2386864331805,4.16780073912788,7.20324358615419
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.287382474293,3.27785404730036,6.78261826079668
