"","Unnamed..0","tissue","endometriosis","severity","p212935_at","p220464_at","MCF2L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.86320866871079,4.89766520201834,4.88043693536456
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,5.01733471641177,5.16426040762752
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,6.59777792807773,5.9544820134605
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,5.2364197316699,5.27380291525659
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.27804883817853,4.89766520201834,4.58785702009843
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,4.58119039353151,4.94618824618739
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.92362620594024,4.89766520201834,4.91064570397929
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,4.93564275301735,5.12341442593031
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,4.89766520201834,5.10442565043081
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.92362620594024,4.34972535548434,4.63667578071229
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.92362620594024,4.61548207975034,4.76955414284529
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,4.86018226048853,5.0856841796659
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,5.98070159113464,5.64594384498895
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,4.89766520201834,5.10442565043081
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59715275598895,4.89766520201834,5.24740897900364
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31118609884327,5.47586946760384,5.39352778322356
