"","Unnamed..0","tissue","endometriosis","severity","p213154_s_at","p212702_s_at","BICD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.35278209584453,6.16122468658676,7.75700339121564
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.07377194398326,5.85273516209074,6.463253553037
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.43845684866805,6.44825077248964,6.94335381057885
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.65973032967168,5.99294170085341,7.32633601526254
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71844556262545,6.07697046996198,7.39770801629371
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.78636959791227,6.41785455791168,7.60211207791197
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.65555260171197,6.10307239960427,6.87931250065812
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.1296862973454,5.82380048088383,6.97674338911462
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.34787757614542,5.85269744806487,7.10028751210514
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.80513211479501,5.97588241191065,7.39050726335283
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.07959130700578,5.06707100282088,6.57333115491333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.33219356835883,5.87726075962864,7.10472716399373
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.26085795512357,4.62283672445836,6.44184733979096
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.00675683267767,6.59972775154437,7.80324229211102
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.01140438261841,6.73337218076543,7.87238828169192
