"","Unnamed..0","tissue","endometriosis","severity","p227595_at","p227594_at","ZMYM6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.46969472821336,5.7377371458489,5.60371593703113
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.19353285638472,4.81193173473387,4.00273229555929
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.19353285638472,4.56564080824711,3.87958683231592
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.06307158182103,5.34642027406528,4.70474592794316
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.33559177388826,4.66492296335686,4.50025736862256
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.52942768955603,5.28981948437848,4.90962358696726
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.06307158182103,3.7543779067287,3.90872474427487
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.19587453802099,3.70745161045166,3.95166307423633
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.41524491855009,5.14176724977789,4.77850608416399
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.01756008399055,6.17697644476633,5.59726826437844
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.74759561256573,5.23229347452273,4.98994454354423
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.04673276580605,5.91441497424277,5.48057387002441
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.67141902535378,4.73692823974448,4.70417363254913
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.32491968281117,4.80987447734901,4.56739708008009
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.86452647437664,5.64508379383545,5.25480513410604
