"","Unnamed..0","tissue","endometriosis","severity","p219858_s_at","p225325_at","MFSD6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.31485006074694,10.6197523648594,8.96730121280317
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.21277892714996,9.4395786527842,8.32617878996708
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.68947854185324,4.39735646403633,4.04341750294478
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.32519484126251,8.12833432510215,6.22676458318233
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.12040646650273,8.38307552190988,7.2517409942063
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.21282758515247,7.52290349586197,5.36786554050722
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.72299663253721,6.54281274262239,5.6329046875798
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.99971176881252,5.96186126797505,4.48078651839378
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.58248007996945,9.07295274043936,7.82771641020441
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.43909633638397,7.84400378366288,6.14155006002342
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.20770743759892,7.03040472390545,6.11905608075218
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.21308933627169,6.71238779925616,5.46273856776392
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.99971176881252,7.64088857104801,5.32030016993026
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.99971176881252,6.31429203921427,4.65700190401339
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.51916066965003,9.22756657107716,7.87336362036359
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.9208198445948,8.95708270334455,7.43895127396967
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.6924435215923,8.62172007841131,7.15708180000181
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.14396814874779,7.79034264177345,6.46715539526062
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.80603834228812,7.41342520074506,6.10973177151659
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.99971176881252,7.33274782903383,5.16622979892318
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.40724981611373,9.2294844559999,6.31836713605681
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.59554404698299,7.01586591990827,4.80570498344563
