"","Unnamed..0","tissue","endometriosis","severity","p227852_at","p227849_at","RP9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.35105916073309,3.29937452215359,5.32521684144334
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.96295061340023,3.35782625365882,5.66038843352953
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.73166498992109,3.45260243559161,5.59213371275635
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46093204072276,3.0521886895076,5.25656036511518
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80895108982865,3.45260243559161,5.63077676271013
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.59695766006768,2.83825668119048,5.21760717062908
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.9225151342248,3.29937452215359,5.6109448281892
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.72981768492865,2.70315490549941,5.21648629521403
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.48368549840329,3.45260243559161,5.46814396699745
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.25101430529804,2.89819174417661,5.07460302473732
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.14660265099086,3.29937452215359,5.22298858657222
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.0748735697388,3.45260243559161,5.7637380026652
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.2091101534731,3.29937452215359,5.75424233781334
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.80041300705158,2.83010295852707,5.31525798278932
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.61780343185905,2.47295674300471,5.04538008743188
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.87552357124526,2.23602791534862,5.05577574329694
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.359552006492,2.39734166245002,4.87844683447101
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.23663106845989,3.29937452215359,5.26800279530674
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.34362059264794,3.29937452215359,5.32149755740076
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.3278111450896,4.85324545311852,6.59052829910406
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.52966470113824,4.26233895547168,6.39600182830496
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.38121978837469,3.51133137371568,5.94627558104519
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.17985435746391,3.45260243559161,5.81622839652776
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.94167166776216,2.79733288251942,5.36950227514079
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.3214522961025,2.95244887460793,5.13695058535521
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.85242770665754,3.04783887161004,5.45013328913379
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.28184345084608,3.45260243559161,5.36722294321885
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.22240102208715,2.5977759125916,5.41008846733937
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.4229330750257,2.23602791534862,5.32948049518716
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.15736018203307,2.78038410627429,5.46887214415368
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.23988236189269,3.45260243559161,5.84624239874215
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.62799174066842,2.96658523452768,5.29728848759805
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.88916786269149,2.23602791534862,5.06259788902006
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.63593945304902,2.79506039606641,5.21549992455772
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.80221669613625,4.29174727031513,6.54698198322569
