"","Unnamed..0","tissue","endometriosis","severity","p1553227_s_at","p214820_at","p219280_at","p225446_at","p238890_at","BRWD1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.83133354301928,6.73592472397308,5.84243220284299,6.77428101005308,4.04981987971583,5.84675827192085
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.10327031340442,4.81755628046328,6.19300314489851,6.20253276534496,2.67503620758316,5.19827974233887
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.94945509649313,5.2995570899864,5.54284111328256,5.81280734144027,2.30587077532746,4.78210628330596
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.21623302404629,4.69637359833817,5.36818871262349,5.85446631420381,3.87504426168561,5.20206118217947
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.9361216011233,6.06127205215153,4.63150217408223,6.33224054318847,2.85295215495288,4.96281770509968
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.84353885923615,4.81755628046328,5.25027792996488,5.87985518470079,2.97268602719743,4.95278285631251
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.60222177847589,3.74152613001009,4.91462137748347,5.85446631420381,3.43458915725634,4.70948495148592
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.71577425117025,4.81755628046328,5.63485957643808,5.9920486461646,3.07787664031124,5.04762307890949
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.490043694193,6.11387080166182,5.36130489618988,6.24376924356823,3.55306346623754,5.35241042037009
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.88070389581667,4.61253761160276,5.02533381471749,6.24376924356823,3.91608394254842,5.13568570165071
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.17307805246763,6.36552616822651,5.76172919414947,6.09450106881291,3.08129332039161,5.29522556080963
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.07129059484482,5.22446276526538,5.94097287899645,6.39980908556183,3.64619510459822,5.45654608585334
