"","Unnamed..0","tissue","endometriosis","severity","p64899_at","p218509_at","PLPPR2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.83530617074884,7.04905611234063,6.44218114154473
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.49939237693499,7.14874186091612,6.32406711892556
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.17994805661851,7.14874186091612,6.66434495876732
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25929349360172,7.14874186091612,6.70401767725892
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02589140931608,7.14874186091612,6.5873166351161
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91805000070367,7.11682650781324,6.51743825425845
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.7968857607625,7.14874186091612,6.47281381083931
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.17994805661851,7.14874186091612,6.66434495876732
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.630789593673,6.67917615049576,6.15498287208438
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.86949273975015,6.31349115072729,6.09149194523872
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.00283343450304,6.47926639938794,6.24104991694549
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.60460429042648,6.82600110686037,6.21530269864343
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.72022520139604,7.14874186091612,6.43448353115608
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.61715961857484,7.14874186091612,6.38295073974548
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.70495819097087,6.55402419242292,6.12949119169689
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.70308798820735,6.50426805149382,6.10367801985058
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.09275404656242,7.11033348412164,6.60154376534203
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91397202015654,6.73195734016634,6.32296468016144
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.66233946413192,6.37300782124882,6.01767364269037
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.5585641880728,7.41271414493582,6.98563916650431
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.93640894678087,6.95575963651979,6.44608429165033
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.85644761174145,7.50386783423256,7.180157722987
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.51568452216729,8.00238615085251,7.7590353365099
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.7386025196304,8.31551331298054,8.02705791630547
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.60758751257558,8.13140396999889,7.86949574128723
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.58830072047649,8.31314811316381,7.95072441682015
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.88826638916251,8.76775865968036,8.32801252442144
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.75272874161214,7.62917152305697,7.19095013233455
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.73305888982885,7.73584064643622,7.23444976813254
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.45658947053467,7.85627225046353,7.6564308604991
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.34974514263323,8.18103907762053,7.76539211012688
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.99848569495252,7.78747203814383,7.39297886654817
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.48157984631863,9.11826927443919,8.79992456037891
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.56821729529699,8.69981445198202,8.63401587363951
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.72359906067843,6.5337241785729,6.12866161962567
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.11931212787871,7.48496724270947,7.30213968529409
