"","Unnamed..0","tissue","endometriosis","severity","p212158_at","p212157_at","SDC2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.0276935433316,6.69102212336829,8.85935783334994
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2777803212215,7.10017767912339,8.68897900017244
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.2755941403803,8.4764630477947,9.8760285940875
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.48343562039242,6.63078065874023,8.05710813956632
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3153154020838,7.91525949437694,9.61528744823037
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.9174783253023,7.81964005613229,9.3685591907173
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.25999315744418,6.72403036420279,7.49201176082348
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.7151728844804,8.35560745419926,10.0353901693398
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.5251110473232,8.02288844548597,9.77399974640458
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.5620093388408,7.47888983925795,9.02044958904938
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.3697435422545,8.6171182181711,10.4934308802128
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.9294390425417,7.84282953047351,9.88613428650761
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.50640205088636,5.07237848266599,7.28939026677618
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.664084063164,8.82063405505028,10.2423590591071
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3052282125495,8.20905108160971,9.7571396470796
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.4476294323279,7.48004668512074,8.96383805872432
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3857048467997,8.3584389485812,9.87207189769045
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.78782631527812,5.70619870484613,7.74701251006213
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.8917228659727,7.30481154584817,9.09826720591044
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.5354895784944,5.96241414740892,8.24895186295166
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.7883122430764,6.60796827101619,8.69814025704629
