"","sample","tissue","endometriosis","severity","p1568629_s_at","p229392_s_at","PIK3R2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.508954,4.357402,5.933178
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.88303,4.821822,6.852426
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.156695,5.355465,6.75608
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.855924,4.357402,6.106663
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.811311,4.40874,6.6100255
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.054384,4.357402,6.205893
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.812668,5.067614,6.440141
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.144699,4.357402,6.7510505
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.456052,4.40874,6.432396
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.329272,4.357402,6.343337
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.92085,4.834687,6.8777685
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.253298,4.357402,6.30535
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.509471,4.40874,5.9591055
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.523971,4.40874,6.9663555
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.722706,4.353087,6.5378965
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.928705,4.357402,6.1430535
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.355989,4.357402,5.8566955
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.81541,3.936538,5.875974
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.786024,4.028887,5.9074555
