"","sample","tissue","endometriosis","severity","p218127_at","p218128_at","p218129_s_at","NFYB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.857107,8.580279,7.06735,8.16824533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.4344,7.488132,8.044093,7.988875
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.018358,7.721051,6.482183,7.74053066666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.092727,6.938775,6.686113,7.239205
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.331075,8.582963,8.17753,8.69718933333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.886541,7.290357,7.439426,7.53877466666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.341449,6.877794,4.63883,6.28602433333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.831498,8.108304,6.894674,7.94482533333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.41461,8.14149,8.051704,8.20260133333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.815244,7.587764,6.994206,7.465738
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.068647,8.689837,8.490843,8.74977566666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.159479,8.76668,8.017377,8.64784533333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.521519,6.882441,5.653572,6.685844
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.796562,8.880713,8.182445,8.61990666666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71124,8.271192,8.272974,8.41846866666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.350987,7.936822,7.170595,7.819468
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.98978,8.209477,6.850381,7.68321266666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.655476,7.947015,7.071185,7.557892
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.288038,8.23845,7.30179,7.94275933333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.516496,7.243589,5.760277,6.84012066666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.983239,7.273834,6.753166,7.33674633333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.372946,6.842273,6.028755,6.74799133333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.587527,6.325268,4.193234,5.70200966666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.398994,7.022737,5.727974,6.71656833333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.908839,6.647258,5.246395,6.26749733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.448861,6.878695,3.871551,5.73303566666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.174876,6.898072,3.35437,5.47577266666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.219464,7.629855,6.232982,7.360767
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.571088,6.913042,3.406068,5.96339933333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.050769,7.110812,5.01563,6.39240366666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.30441,7.309021,3.98591,6.19978033333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.122543,7.762594,6.116731,7.333956
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.968773,5.33084,3.35437,5.21799433333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.865318,6.641926,5.108218,6.205154
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.820667,8.497945,7.830107,8.38290633333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.958963,7.042901,5.505879,6.502581
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.090666,7.041577,4.946892,6.35971166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.807421,7.292536,6.570592,7.22351633333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.785055,7.3898,5.811589,6.99548133333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.665175,6.353982,5.170635,6.063264
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.290802,7.627591,5.044671,6.65435466666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.774243,6.914799,6.32966,6.67290066666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.645717,5.988658,5.234552,5.956309
